t,fC_qlearning,cb_qlearning,fC_fermi,cb_fermi
10,0.50171875,0.06484375,0.0046875,0.00015625
20,0.5028125,0.063125,0.0009375,0.0
30,0.50203125,0.065,0.0,0.0
40,0.50328125,0.0640625,0.0,0.0
50,0.505,0.06484375,0.0,0.0
60,0.50421875,0.0671875,0.0,0.0
70,0.5028125,0.06515625,0.0,0.0
80,0.50578125,0.06421875,0.0,0.0
90,0.505625,0.06625,0.0,0.0
100,0.5065625,0.06671875,0.0,0.0
110,0.50625,0.0634375,0.0,0.0
120,0.50484375,0.06265625,0.0,0.0
130,0.50375,0.061875,0.0,0.0
140,0.5034375,0.06390625,0.0,0.0
150,0.5046875,0.06453125,0.0,0.0
160,0.5053125,0.06484375,0.0,0.0
170,0.5034375,0.06359375,0.0,0.0
180,0.5071875,0.063125,0.0,0.0
190,0.505,0.06234375,0.0,0.0
200,0.50484375,0.065625,0.0,0.0
210,0.505,0.06234375,0.0,0.0
220,0.5046875,0.06453125,0.0,0.0
230,0.50171875,0.0640625,0.0,0.0
240,0.50375,0.065,0.0,0.0
250,0.505625,0.06609375,0.0,0.0
260,0.50328125,0.0646875,0.0,0.0
270,0.50515625,0.0625,0.0,0.0
280,0.50375,0.0640625,0.0,0.0
290,0.505,0.06484375,0.0,0.0
300,0.5028125,0.06390625,0.0,0.0
310,0.5040625,0.065,0.0,0.0
320,0.505,0.064375,0.0,0.0
330,0.50640625,0.0640625,0.0,0.0
340,0.50609375,0.06375,0.0,0.0
350,0.505625,0.0671875,0.0,0.0
360,0.5059375,0.064375,0.0,0.0
370,0.50609375,0.06390625,0.0,0.0
380,0.50375,0.06265625,0.0,0.0
390,0.505625,0.06625,0.0,0.0
400,0.504375,0.065625,0.0,0.0
410,0.505,0.0646875,0.0,0.0
420,0.5046875,0.06171875,0.0,0.0
430,0.50578125,0.0646875,0.0,0.0
440,0.50453125,0.064375,0.0,0.0
450,0.5040625,0.06453125,0.0,0.0
460,0.505625,0.063125,0.0,0.0
470,0.50328125,0.06515625,0.0,0.0
480,0.50328125,0.0646875,0.0,0.0
490,0.5046875,0.06203125,0.0,0.0
500,0.50578125,0.06546875,0.0,0.0
510,0.504375,0.06640625,0.0,0.0
520,0.50484375,0.0646875,0.0,0.0
530,0.505,0.065,0.0,0.0
540,0.5053125,0.0646875,0.0,0.0
550,0.504375,0.0659375,0.0,0.0
560,0.504375,0.06453125,0.0,0.0
570,0.50515625,0.065,0.0,0.0
580,0.50578125,0.06546875,0.0,0.0
590,0.50578125,0.06375,0.0,0.0
600,0.50453125,0.066875,0.0,0.0
610,0.50546875,0.061875,0.0,0.0
620,0.50421875,0.06671875,0.0,0.0
630,0.50359375,0.06484375,0.0,0.0
640,0.5034375,0.06296875,0.0,0.0
650,0.50484375,0.065,0.0,0.0
660,0.503125,0.064375,0.0,0.0
670,0.503125,0.06390625,0.0,0.0
680,0.50390625,0.06328125,0.0,0.0
690,0.50328125,0.06453125,0.0,0.0
700,0.505625,0.0665625,0.0,0.0
710,0.50375,0.06453125,0.0,0.0
720,0.5046875,0.06625,0.0,0.0
730,0.50296875,0.06484375,0.0,0.0
740,0.503125,0.06375,0.0,0.0
750,0.50328125,0.06484375,0.0,0.0
760,0.50609375,0.06453125,0.0,0.0
770,0.504375,0.064375,0.0,0.0
780,0.5059375,0.06796875,0.0,0.0
790,0.50484375,0.06328125,0.0,0.0
800,0.50390625,0.0628125,0.0,0.0
810,0.50546875,0.0640625,0.0,0.0
820,0.50421875,0.0640625,0.0,0.0
830,0.506875,0.0659375,0.0,0.0
840,0.50453125,0.0659375,0.0,0.0
850,0.5046875,0.0646875,0.0,0.0
860,0.50515625,0.06515625,0.0,0.0
870,0.50390625,0.06484375,0.0,0.0
880,0.505,0.0640625,0.0,0.0
890,0.5059375,0.06484375,0.0,0.0
900,0.5078125,0.0621875,0.0,0.0
910,0.5034375,0.06484375,0.0,0.0
920,0.50421875,0.06359375,0.0,0.0
930,0.505,0.0659375,0.0,0.0
940,0.50328125,0.06421875,0.0,0.0
950,0.505,0.06359375,0.0,0.0
960,0.50390625,0.06328125,0.0,0.0
970,0.50625,0.06375,0.0,0.0
980,0.50546875,0.06546875,0.0,0.0
990,0.50359375,0.06546875,0.0,0.0
1000,0.505625,0.06375,0.0,0.0
1010,0.50578125,0.0646875,0.0,0.0
1020,0.504375,0.06546875,0.0,0.0
1030,0.505,0.0659375,0.0,0.0
1040,0.50546875,0.0659375,0.0,0.0
1050,0.5028125,0.0675,0.0,0.0
1060,0.5034375,0.06484375,0.0,0.0
1070,0.503125,0.06703125,0.0,0.0
1080,0.5065625,0.06515625,0.0,0.0
1090,0.5046875,0.06609375,0.0,0.0
1100,0.5065625,0.0646875,0.0,0.0
1110,0.505,0.06484375,0.0,0.0
1120,0.50484375,0.06421875,0.0,0.0
1130,0.5053125,0.06453125,0.0,0.0
1140,0.505,0.06875,0.0,0.0
1150,0.5071875,0.0671875,0.0,0.0
1160,0.50546875,0.06609375,0.0,0.0
1170,0.5059375,0.065625,0.0,0.0
1180,0.50484375,0.06375,0.0,0.0
1190,0.50484375,0.0653125,0.0,0.0
1200,0.505625,0.064375,0.0,0.0
1210,0.50546875,0.06671875,0.0,0.0
1220,0.50484375,0.06515625,0.0,0.0
1230,0.505,0.0640625,0.0,0.0
1240,0.504375,0.06515625,0.0,0.0
1250,0.5034375,0.0628125,0.0,0.0
1260,0.50328125,0.065625,0.0,0.0
1270,0.50296875,0.06484375,0.0,0.0
1280,0.5084375,0.06484375,0.0,0.0
1290,0.5053125,0.0653125,0.0,0.0
1300,0.50375,0.0634375,0.0,0.0
1310,0.50453125,0.06203125,0.0,0.0
1320,0.50390625,0.06375,0.0,0.0
1330,0.5053125,0.06421875,0.0,0.0
1340,0.505,0.06421875,0.0,0.0
1350,0.50421875,0.065625,0.0,0.0
1360,0.50546875,0.0646875,0.0,0.0
1370,0.50734375,0.06484375,0.0,0.0
1380,0.505625,0.06359375,0.0,0.0
1390,0.50609375,0.06421875,0.0,0.0
1400,0.50703125,0.06203125,0.0,0.0
1410,0.50625,0.06296875,0.0,0.0
1420,0.5046875,0.065625,0.0,0.0
1430,0.50390625,0.0653125,0.0,0.0
1440,0.5034375,0.065,0.0,0.0
1450,0.50578125,0.06796875,0.0,0.0
1460,0.5053125,0.06453125,0.0,0.0
1470,0.505,0.06734375,0.0,0.0
1480,0.5046875,0.065625,0.0,0.0
1490,0.50703125,0.06515625,0.0,0.0
1500,0.50359375,0.06515625,0.0,0.0
1510,0.50671875,0.06359375,0.0,0.0
1520,0.50390625,0.06609375,0.0,0.0
1530,0.50671875,0.0634375,0.0,0.0
1540,0.50484375,0.0659375,0.0,0.0
1550,0.50671875,0.0640625,0.0,0.0
1560,0.50390625,0.06421875,0.0,0.0
