allow_forced_l_in_cd,pi0,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,cum_sigma_mean,net_sum_res_mean,,,,,,,,,,,,,,,,,
FALSE,6,1.2,1,0,0,35.99999999999999,1.4205170373315928e-20,0,89999.99999999996,,,,,,,,,,,,,,,,,
FALSE,5,1.2,1,0,0,35.99999999999999,1.4205170373315928e-20,0,89999.99999999996,,,,,,,,,,,,,,,,,
FALSE,7,1.2,1,0,0,35.99999999999999,1.4205170373315928e-20,0,89999.99999999996,,# GRID = {'r': [1.2,1.4,1.6,1.8, 2.0], 'allow_forced_l_in_cd': [True, False], 'pi0': [5,6,7,8,9, 10]},,,
FALSE,8,1.2,1,0,0,35.99999999999999,0,0,89999.99999999996,,# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=5.0, r=1.6, sigma=0.25, alpha=1.0, gamma=10.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='cumulative', seed=0, allow_forced_l_in_cd=False)
FALSE,9,1.2,1,0,0,35.99999999999999,0,0,89999.99999999996,,# REPLICAS = 50, T = 50000,,,,,,,,,,,,,,
FALSE,10,1.2,1,0,0,35.99999999999999,1.4205170373315928e-20,0,89999.99999999996,,,,,,,,,,,,,,,,,
FALSE,5,1.4,0.8706240000000001,0.129376,0,32.217874182938736,0.08092344727644965,0,80544.68545734684,,,,,,,,,,,,,,,,,
TRUE,5,1.4,0.870248,0.12972799999999998,2.4e-05,32.26219890888268,0.07993079761076154,66505.64,14149.857272206687,,,,,,,,,,,,,,,,,
FALSE,6,1.4,0.868064,0.131936,0,32.17953225155188,0.08131033246106811,0,80448.83062887972,,,,,,,,,,,,,,,,,
TRUE,6,1.4,0.864104,0.13588,1.6e-05,32.105871148709106,0.08247724175258293,62120.16,18144.51787177277,,,,,,,,,,,,,,,,,
FALSE,7,1.4,0.870032,0.129968,0,32.288929965969515,0.07926913049895647,0,80722.32491492378,,,,,,,,,,,,,,,,,
TRUE,7,1.4,0.86088,0.139104,1.6e-05,31.99096294715322,0.08406677171855582,58300.84,21676.567367883064,,,,,,,,,,,,,,,,,
FALSE,5,1.6,0.45510399999999995,0.544896,0,16.066670264662623,0.40498202833878877,0,40166.67566165656,,,,,,,,,,,,,,,,,
TRUE,5,1.6,0.484712,0.35771200000000003,0.157576,17.715249134215235,0.3903350115879703,19355848.46,-19311560.34,,,,,,,,,,,,,,,,,
FALSE,6,1.6,0.45508799999999994,0.544912,0,15.699284870582067,0.41326423451809613,0,39248.21217645516,,,,,,,,,,,,,,,,,
TRUE,6,1.6,0.46937599999999996,0.360384,0.17024,17.1295668482919,0.4070696744202857,19736672.24,-19693848.32,,,,,,,,,,,,,,,,,
FALSE,7,1.6,0.45756,0.54244,0,15.520892990721338,0.4197754478392266,0,38802.23247680335,,,,,,,,,,,,,,,,,
TRUE,7,1.6,0.46779200000000004,0.37343200000000004,0.158776,17.238917375482664,0.4023237104654634,20106564.76,-20063467.47,,,,,,,,,,,,,,,,,
FALSE,5,1.8,0.023632,0.9763679999999999,0,-9293.606617,0.055160120649323865,0,-23234016.54,,,,,,,,,,,,,,,,,
TRUE,5,1.8,0.18,0,0.82,5.195341461765286,0.4464656771912668,102559210.5,-102546222.1,,,,,,,,,,,,,,,,,
FALSE,6,1.8,0.010808,0.9891920000000001,0,-9690.518946,0.020782720121316746,0,-24226297.36,,,,,,,,,,,,,,,,,
TRUE,6,1.8,0.16,0,0.84,4.495470747189628,0.46197183884905896,105046975.9,-105035737.2,,,,,,,,,,,,,,,,,
