t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,9.0,0.0
250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
1000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
1250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
1500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
1750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
2000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
2250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
2500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
2750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
3000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
3250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
3500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
3750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
4000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
4250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
4500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
4750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
5000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
5250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
5500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
5750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
6000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
6250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
6500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
6750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
7000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
7250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
7500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
7750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
8000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
8250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
8500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
8750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
9000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
9250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
9500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
9750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
10000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
10250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
10500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
10750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
11000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
11250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
11500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
11750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
12000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
12250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
12500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
12750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
13000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
13250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
13500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
13750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
14000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
14250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
14500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
14750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
15000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
15250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
15500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
15750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
16000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
16250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
16500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
16750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
17000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
17250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
17500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
17750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
18000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
18250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
18500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
18750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
19000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
19250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
19500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
19750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
20000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
20250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
20500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
20750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
21000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
21250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
21500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
21750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
22000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
22250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
22500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
22750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
23000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
23250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
23500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
23750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
24000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
24250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
24500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
24750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
25000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
25250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
25500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
25750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
26000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
26250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
26500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
26750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
27000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
27250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
27500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
27750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
28000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
28250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
28500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
28750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
29000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
29250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
29500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
29750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
30000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
30250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
30500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
30750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
31000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
31250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
31500,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
31750,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
32000,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
32250,0.0,0.0,1.0,-1.211384085244501,0.5669311974878875
