t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.0,1.0,0.0,-234.88329916324616,0.007522725749788591
500,0.0,1.0,0.0,-484.88329916324614,0.00364409878801737
750,0.0,1.0,0.0,-734.8832991632462,0.0024044125711151004
1000,0.0,1.0,0.0,-984.8832991632462,0.001794083262770172
1250,0.0,1.0,0.0,-1234.8832991632462,0.0014308741919239886
1500,0.0,1.0,0.0,-1484.8832991632462,0.0011899673488188255
1750,0.0,1.0,0.0,-1734.8832991632462,0.0010184907789837305
2000,0.0,1.0,0.0,-1984.8832991632462,0.0008902098393167626
2250,0.0,1.0,0.0,-2234.883299163246,0.0007906285950018869
2500,0.0,1.0,0.0,-2484.883299163246,0.0007110847593549451
2750,0.0,1.0,0.0,-2734.883299163246,0.0006460833788963615
3000,0.0,1.0,0.0,-2984.883299163246,0.000591970427556063
3250,0.0,1.0,0.0,-3234.883299163246,0.0005462214489368664
3500,0.0,1.0,0.0,-3484.883299163246,0.0005070363886316891
3750,0.0,1.0,0.0,-3734.883299163246,0.0004730971495699704
4000,0.0,1.0,0.0,-3984.883299163246,0.00044341640900290584
4250,0.0,1.0,0.0,-4234.883299163246,0.00041723998466728995
4500,0.0,1.0,0.0,-4484.883299163246,0.0003939818552559218
4750,0.0,1.0,0.0,-4734.883299163246,0.0003731797662516613
5000,0.0,1.0,0.0,-4984.883299163246,0.000354464194398941
5250,0.0,1.0,0.0,-5234.883299163246,0.00033753620507511026
5500,0.0,1.0,0.0,-5484.883299163246,0.000322151365204105
5750,0.0,1.0,0.0,-5734.883299163246,0.0003081078638633232
6000,0.0,1.0,0.0,-5984.883299163246,0.0002952376102400654
6250,0.0,1.0,0.0,-6234.883299163246,0.00028339947325842826
6500,0.0,1.0,0.0,-6484.883299163246,0.00027247408492896537
6750,0.0,1.0,0.0,-6734.883299163246,0.00026235980110155227
7000,0.0,1.0,0.0,-6984.883299163246,0.0002529695296444407
7250,0.0,1.0,0.0,-7234.883299163246,0.00024422821623328663
7500,0.0,1.0,0.0,-7484.883299163246,0.00023607083399792867
7750,0.0,1.0,0.0,-7734.883299163246,0.00022844076303023007
8000,0.0,1.0,0.0,-7984.883299163246,0.00022128847430942408
8250,0.0,1.0,0.0,-8234.883299163246,0.00021457045335301138
8500,0.0,1.0,0.0,-8484.883299163246,0.00020824831415004288
8750,0.0,1.0,0.0,-8734.883299163246,0.00020228806525438814
9000,0.0,1.0,0.0,-8984.883299163246,0.00019665949840162703
9250,0.0,1.0,0.0,-9234.883299163246,0.00019133567643141747
9500,0.0,1.0,0.0,-9484.883299163246,0.00018629250219309298
9750,0.0,1.0,0.0,-9734.883299163246,0.0001815083538764638
10000,0.0,1.0,0.0,-9984.883299163246,0.00017696377512581193
10250,0.0,1.0,0.0,-9999.483699163246,1.6781337299350835e-05
10500,0.0,1.0,0.0,-9999.483699163246,1.6781337299350835e-05
10750,0.0,1.0,0.0,-9999.483699163246,1.6781337299350835e-05
11000,0.0,1.0,0.0,-9999.483699163246,1.6781337299350835e-05
11250,0.0,1.0,0.0,-9999.483699163246,1.6781337299350835e-05
11500,0.0,1.0,0.0,-9999.483699163246,1.6781337299350835e-05
11750,0.0,1.0,0.0,-9999.483699163246,1.6781337299350835e-05
12000,0.0,1.0,0.0,-9999.483699163246,1.6781337299350835e-05
12250,0.0,1.0,0.0,-9999.483699163246,1.6781337299350835e-05
