t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,9.0,0.0
250,0.0,1.0,0.0,-224.48890092958575,0.03776120501129079
500,0.0,1.0,0.0,-474.48890092958584,0.017865478821852188
750,0.0,1.0,0.0,-724.4889009295858,0.011700622880329432
1000,0.0,1.0,0.0,-974.4889009295858,0.0086988896463316
1250,0.0,1.0,0.0,-1224.488900929586,0.006922865045429188
1500,0.0,1.0,0.0,-1474.488900929586,0.005749091366789644
1750,0.0,1.0,0.0,-1724.488900929586,0.004915642777516238
2000,0.0,1.0,0.0,-1974.488900929586,0.004293248448634221
2250,0.0,1.0,0.0,-2224.4889009295857,0.0038107501490427793
2500,0.0,1.0,0.0,-2474.4889009295857,0.003425746386486883
2750,0.0,1.0,0.0,-2724.4889009295857,0.003111398768359495
3000,0.0,1.0,0.0,-2974.4889009295857,0.0028498917606020347
3250,0.0,1.0,0.0,-3224.4889009295857,0.0026289349013785125
3500,0.0,1.0,0.0,-3474.4889009295853,0.002439775072671393
3750,0.0,1.0,0.0,-3724.4889009295853,0.0022760093092627238
4000,0.0,1.0,0.0,-3974.4889009295853,0.0021328456619362467
4250,0.0,1.0,0.0,-4224.488900929585,0.0020066265078589975
4500,0.0,1.0,0.0,-4474.488900929585,0.0018945116634439116
4750,0.0,1.0,0.0,-4724.488900929585,0.0017942621071865591
5000,0.0,1.0,0.0,-4974.488900929585,0.0017040889183966884
5250,0.0,1.0,0.0,-5224.488900929585,0.0016225455870435737
5500,0.0,1.0,0.0,-5474.488900929585,0.0015484498305078328
5750,0.0,1.0,0.0,-5724.488900929585,0.0014808258968560274
6000,0.0,1.0,0.0,-5974.488900929585,0.001418861353887941
6250,0.0,1.0,0.0,-6224.488900929585,0.0013618742913165851
6500,0.0,1.0,0.0,-6474.488900929585,0.0013092881214985686
6750,0.0,1.0,0.0,-6724.488900929585,0.001260612001246605
7000,0.0,1.0,0.0,-6974.488900929587,0.0012154254643134618
7250,0.0,1.0,0.0,-7224.488900929587,0.001173366244589383
7500,0.0,1.0,0.0,-7474.488900929585,0.001134120542972131
7750,0.0,1.0,0.0,-7724.488900929585,0.0010974151842902237
8000,0.0,1.0,0.0,-7974.488900929585,0.0010630112495075726
8250,0.0,1.0,0.0,-8224.488900929586,0.0010306988693003496
8500,0.0,1.0,0.0,-8474.488900929586,0.001000292939180266
8750,0.0,1.0,0.0,-8724.488900929586,0.0009716295713159981
9000,0.0,1.0,0.0,-8974.488900929586,0.0009445631393987622
9250,0.0,1.0,0.0,-9224.488900929586,0.0009189638040441613
9500,0.0,1.0,0.0,-9474.488900929586,0.000894715429972131
9750,0.0,1.0,0.0,-9724.488900929586,0.000871713824461362
10000,0.0,1.0,0.0,-9974.488900929586,0.0008498652407113686
10250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
10500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
10750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
11000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
11250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
11500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
11750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
12000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
12250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
12500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
12750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
13000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
13250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
13500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
13750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
14000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
14250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
14500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
14750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
15000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
15250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
15500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
15750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
16000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
16250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
16500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
16750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
17000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
17250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
17500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
17750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
18000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
18250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
18500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
18750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
19000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
19250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
19500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
19750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
20000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
20250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
20500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
20750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
21000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
21250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
21500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
21750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
22000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
22250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
22500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
22750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
23000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
23250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
23500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
23750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
24000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
24250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
24500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
24750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
25000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
25250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
25500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
25750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
26000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
26250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
26500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
26750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
27000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
27250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
27500,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
27750,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
28000,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
28250,0.0,1.0,0.0,-9999.505700929585,1.7269744702579754e-05
