t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.2112,0.4692,0.3196,8.477414013140594,0.6179452338451943
500,0.196,0.4212,0.3828,6.331195505699403,0.6429827165943977
750,0.242,0.568,0.19,11.067703692520707,0.5084671658657733
1000,0.1536,0.468,0.3784,6.859272941023392,0.6529138225876319
1250,0.1984,0.5212,0.2804,8.221336785859128,0.6235153513329549
1500,0.2496,0.5648,0.1856,11.712541085793692,0.5195447067469363
1750,0.182,0.5084,0.3096,7.228120597903157,0.6276023757241356
2000,0.1676,0.41,0.4224,7.581455415782781,0.6539053642251721
2250,0.3004,0.502,0.1976,11.51567443881104,0.49472124349997293
2500,0.2812,0.4212,0.2976,10.312693969101792,0.5741995322292358
2750,0.1844,0.4936,0.322,8.22868796352436,0.6235141138882971
3000,0.2216,0.4712,0.3072,8.206202509477277,0.6001701206521389
3250,0.1836,0.5696,0.2468,8.767295657755872,0.5682437859615322
3500,0.1792,0.5312,0.2896,8.7663159575435,0.5801540901979794
3750,0.1412,0.5352,0.3236,6.780862346196526,0.6178576665605697
4000,0.1732,0.5604,0.2664,8.288722058938255,0.586799596459112
4250,0.2376,0.4584,0.304,8.771239449184174,0.5817446562313974
4500,0.1848,0.4428,0.3724,7.917957928515427,0.6452278417158999
4750,0.184,0.4528,0.3632,8.194656254975666,0.6456645142738465
5000,0.1216,0.4816,0.3968,5.747456007477574,0.6598482830404275
5250,0.2752,0.4772,0.2476,10.055445371271805,0.5658221903979244
5500,0.2108,0.4568,0.3324,7.860922646156459,0.6322021402939751
5750,0.148,0.5088,0.3432,6.443042702471494,0.6419867645213064
6000,0.1776,0.6176,0.2048,8.694973339074137,0.5386464953338161
6250,0.202,0.5008,0.2972,7.779616282037986,0.5964628534691493
6500,0.2068,0.544,0.2492,9.436445012670028,0.576073080824176
6750,0.2092,0.4624,0.3284,6.951289978617718,0.6291119541979739
7000,0.2008,0.4988,0.3004,9.141830408222056,0.5827790683800808
7250,0.2188,0.5008,0.2804,8.72313029548203,0.5855034377209252
7500,0.1708,0.4796,0.3496,7.2876254652085075,0.6534778587167004
7750,0.1824,0.4976,0.32,7.457813857927556,0.6365217479425143
8000,0.1744,0.4432,0.3824,6.401893422764101,0.6680454231973578
8250,0.202,0.4932,0.3048,8.907168012867452,0.598860352767712
8500,0.2248,0.4852,0.29,9.99759669209848,0.5684199128685617
8750,0.198,0.4764,0.3256,7.821997429735824,0.6249912399284908
9000,0.17,0.4156,0.4144,5.430041137293561,0.6996381610301495
9250,0.2388,0.3588,0.4024,7.342682735820348,0.6716692376704405
9500,0.1628,0.3872,0.45,5.3596930472025255,0.7326355143969399
9750,0.1244,0.4508,0.4248,5.723931697376915,0.6818297550238109
10000,0.2216,0.5384,0.24,9.218468962181596,0.5559889693068125
10250,0.2008,0.4908,0.3084,8.063500996855641,0.6082118948941411
10500,0.234,0.4924,0.2736,7.662955846818242,0.5875744815130187
10750,0.1332,0.4248,0.442,4.699635917262702,0.7205826320961967
11000,0.1536,0.3128,0.5336,5.301459675426005,0.7388919518928302
11250,0.2432,0.5144,0.2424,9.241144272459403,0.5620436559190009
11500,0.1276,0.448,0.4244,5.517270927831583,0.6842758435285334
11750,0.2372,0.4384,0.3244,7.988434369486294,0.6259825739211741
12000,0.1544,0.5364,0.3092,7.170952786072483,0.6406881298156936
12250,0.1324,0.4348,0.4328,5.2181143201910105,0.7113785268448669
12500,0.212,0.484,0.304,8.86770482799593,0.6110883424335097
12750,0.3112,0.5104,0.1784,11.092895310192747,0.5171662542272429
13000,0.1532,0.542,0.3048,7.21132838265675,0.6288333588789302
13250,0.1696,0.5392,0.2912,7.046338449769003,0.621480261298539
13500,0.2248,0.6188,0.1564,10.526769366104991,0.475172805219983
13750,0.1748,0.5508,0.2744,7.5973646065784735,0.6013350582642516
14000,0.1916,0.6036,0.2048,9.84755816009658,0.5314678062907586
14250,0.296,0.4876,0.2164,9.70690359791505,0.5285044934534403
14500,0.132,0.5676,0.3004,7.313495009102428,0.6086367614151168
14750,0.2372,0.3328,0.43,6.903900796152747,0.6776730644929129
15000,0.1488,0.5048,0.3464,6.816338055756114,0.6626447800314229
15250,0.2084,0.5432,0.2484,8.405256353532184,0.5845719189980927
15500,0.228,0.528,0.244,9.387037238455605,0.5721583610645599
15750,0.1908,0.5516,0.2576,8.457883984433298,0.5832909959914766
16000,0.1988,0.506,0.2952,7.961263169260241,0.6203413044534104
16250,0.158,0.4428,0.3992,7.05073883507554,0.6702953461003102
16500,0.2108,0.4336,0.3556,7.974148706921925,0.644103805720367
16750,0.1148,0.382,0.5032,3.96352794570998,0.7606176213797083
17000,0.1772,0.4444,0.3784,6.300784652130354,0.6647187839735229
17250,0.1692,0.4728,0.358,7.187873968535537,0.6459581318669889
17500,0.2724,0.474,0.2536,10.364868027501833,0.5355631032992426
17750,0.1872,0.4528,0.36,6.925465457458393,0.6438748930986381
18000,0.2776,0.4068,0.3156,8.410585241330928,0.602097802723712
18250,0.1928,0.5408,0.2664,8.392079943694142,0.5918520226905228
18500,0.3156,0.4772,0.2072,12.078101259267543,0.496443270234466
18750,0.2528,0.5292,0.218,10.21166670986538,0.5442929279856675
19000,0.204,0.5292,0.2668,9.139558234515421,0.5824306095295222
19250,0.176,0.5008,0.3232,7.478721707858919,0.6221660932366231
19500,0.2692,0.5176,0.2132,10.302341171158428,0.5406021347715617
19750,0.2332,0.4624,0.3044,8.309537064987524,0.6161332738325306
20000,0.18,0.5204,0.2996,7.70934103797364,0.6254655530524076
20250,0.2296,0.478,0.2924,8.341522433699431,0.6011902246431401
20500,0.3008,0.4292,0.27,10.470197120826743,0.5646915614615079
20750,0.1356,0.414,0.4504,5.571042935537682,0.706115881470672
21000,0.2724,0.5212,0.2064,9.206377673363566,0.5467303725076852
21250,0.178,0.4456,0.3764,6.722012195040475,0.6647780125952957
21500,0.378,0.4752,0.1468,12.435131340048356,0.4814602201978978
21750,0.1816,0.512,0.3064,8.159836273889146,0.609631561089898
22000,0.1876,0.5556,0.2568,8.383161283270553,0.5887445463195382
22250,0.1544,0.4032,0.4424,5.70112349878126,0.6987464366409004
22500,0.1564,0.4232,0.4204,5.945521012803551,0.690998200441271
22750,0.1908,0.4568,0.3524,7.21360133378356,0.6507990381527969
23000,0.2068,0.5016,0.2916,9.527973061167494,0.598224753119233
23250,0.2648,0.5624,0.1728,11.823517672279065,0.5038670421600407
23500,0.1748,0.4216,0.4036,7.026614400653304,0.6472035602223334
23750,0.21,0.5092,0.2808,9.114998083331807,0.588656422979662
24000,0.1836,0.5916,0.2248,8.92346247935489,0.5730872785691583
24250,0.2848,0.5284,0.1868,10.936243755693733,0.515775751219186
24500,0.1732,0.5068,0.32,8.411141908863819,0.5952676172331866
24750,0.1456,0.4196,0.4348,5.490253032749011,0.6922550085705322
25000,0.1948,0.4628,0.3424,7.691804837434894,0.635974856164215
25250,0.1536,0.482,0.3644,6.295959358184646,0.6361791149676025
25500,0.1816,0.4808,0.3376,7.684793159844456,0.6347902851940026
25750,0.1604,0.5216,0.318,7.492292707751524,0.6258510352842261
26000,0.1604,0.4556,0.384,6.948436678362903,0.6573127730694698
26250,0.2304,0.3548,0.4148,7.229758890524838,0.6688261244736486
26500,0.1824,0.44,0.3776,6.782336005570306,0.6690444353660817
26750,0.1896,0.4908,0.3196,7.246946881905399,0.6222511834862774
27000,0.168,0.3352,0.4968,5.237298451482246,0.7176877382013042
27250,0.182,0.4048,0.4132,6.948685926915397,0.6716928044111882
27500,0.2008,0.4632,0.336,7.74444927140698,0.6332577495986498
27750,0.1288,0.5624,0.3088,7.11672325134188,0.6136530287758805
28000,0.1712,0.6116,0.2172,9.392192276946862,0.5380098225093901
28250,0.2296,0.5148,0.2556,10.13790476912901,0.5558850021454695
28500,0.1136,0.3752,0.5112,4.342112171695256,0.7409555698226078
28750,0.244,0.4648,0.2912,9.059418472939559,0.5879810916533215
29000,0.1712,0.4304,0.3984,6.369643125823338,0.6700115164893582
29250,0.1972,0.4972,0.3056,8.530820284415586,0.6009735125782981
29500,0.2952,0.3664,0.3384,8.139233221408633,0.6190820949024649
29750,0.2524,0.4072,0.3404,7.24193016817887,0.6417659143889172
30000,0.262,0.4724,0.2656,9.972132318688159,0.5714824684556982
30250,0.2684,0.462,0.2696,8.944312321046421,0.5768689940046311
30500,0.1608,0.5004,0.3388,7.015532408989305,0.6552884828025323
30750,0.2676,0.3964,0.336,9.610213863393895,0.6110378940806669
31000,0.266,0.4008,0.3332,7.929846427096444,0.6219874106275667
31250,0.238,0.4404,0.3216,8.231568432213558,0.6185675004266528
31500,0.1808,0.4472,0.372,6.479657871241532,0.6722547875548877
31750,0.1972,0.5336,0.2692,8.683272260659882,0.5859349624041075
32000,0.2516,0.3708,0.3776,7.859636778332671,0.6344639413572737
32250,0.1968,0.456,0.3472,7.8475116421414075,0.6383388299360444
32500,0.244,0.4748,0.2812,9.126688256041858,0.5774734303812095
32750,0.1424,0.4484,0.4092,5.615524309262023,0.6679997085868097
33000,0.1744,0.468,0.3576,6.604947618679193,0.6523245847626441
33250,0.1864,0.474,0.3396,7.72697683141286,0.626210669784606
33500,0.2008,0.4428,0.3564,7.84329668762825,0.6317415167973477
33750,0.1656,0.5188,0.3156,6.838921767886945,0.6171409359582725
34000,0.2268,0.4596,0.3136,8.204755710176387,0.606450773494694
34250,0.256,0.494,0.25,9.164724022422325,0.5533941523357648
34500,0.2128,0.5204,0.2668,9.2539309110179,0.5756241693142328
34750,0.35,0.4116,0.2384,11.159511895120406,0.5275807401231682
35000,0.186,0.4636,0.3504,7.190233622822771,0.640499159166804
35250,0.2716,0.4964,0.232,10.476458331247088,0.5485095731602084
35500,0.236,0.3884,0.3756,7.5336786356692205,0.6535027717736968
35750,0.2108,0.5416,0.2476,8.10056196273726,0.5868025152901938
36000,0.2096,0.3908,0.3996,7.743920479282501,0.6465619661600682
36250,0.1936,0.3964,0.41,7.136799496580672,0.6620937946811069
36500,0.2232,0.5044,0.2724,8.518290810495126,0.5747644597326228
36750,0.1608,0.5408,0.2984,8.14737745884536,0.5988780358014271
37000,0.16,0.4632,0.3768,6.992293372758832,0.6738019765160453
37250,0.2392,0.5096,0.2512,8.942205560101899,0.5682979676624828
37500,0.1368,0.4256,0.4376,5.42957229324806,0.703902616119728
37750,0.1964,0.4488,0.3548,8.162456570219353,0.6493134357051376
38000,0.1336,0.4604,0.406,6.100090108863524,0.695411973765595
38250,0.3348,0.5044,0.1608,13.319933111540447,0.4935612875516937
38500,0.1512,0.4428,0.406,6.2229631342413745,0.6762051320683241
38750,0.168,0.4708,0.3612,7.002601808581008,0.6532755410799391
39000,0.2936,0.396,0.3104,9.271554723860294,0.5931408482943692
39250,0.29,0.4112,0.2988,9.65826773515444,0.5702178931075447
39500,0.1416,0.428,0.4304,5.556473073589914,0.69760796030942
39750,0.1372,0.422,0.4408,6.398280729359771,0.696253678938956
40000,0.2224,0.4256,0.352,8.061473789340406,0.6482018043237683
40250,0.1768,0.4492,0.374,6.639486264618745,0.6580484498916405
40500,0.2024,0.5188,0.2788,9.09936697625205,0.5840328160004158
40750,0.1796,0.4896,0.3308,6.404264524100396,0.6190637486606887
41000,0.1332,0.4308,0.436,5.0691593348250334,0.7026839274858137
41250,0.3096,0.4484,0.242,12.30326406902797,0.5116964539845822
41500,0.2768,0.384,0.3392,9.368397292771501,0.6211532594060906
41750,0.1984,0.4972,0.3044,8.860440741692965,0.610954487803542
42000,0.1848,0.4636,0.3516,8.000063645257333,0.6238715274857843
42250,0.236,0.524,0.24,10.08205397059448,0.5595255367862287
42500,0.1672,0.4216,0.4112,6.291945206104794,0.6688758993417125
42750,0.1908,0.5992,0.21,9.46363447563226,0.5314522481545462
43000,0.1808,0.388,0.4312,6.640788904617305,0.686984607499553
43250,0.2716,0.566,0.1624,12.686873830530356,0.4823363786802686
43500,0.3156,0.4356,0.2488,10.56175631282412,0.5319409427186856
43750,0.168,0.598,0.234,8.387321010488831,0.5766003408142083
44000,0.2176,0.5468,0.2356,9.97251653919978,0.5381684639986334
44250,0.3264,0.4012,0.2724,9.450189334940212,0.5785975511889276
44500,0.1868,0.4256,0.3876,7.246112242483244,0.6616825644522643
44750,0.248,0.4744,0.2776,8.645261240812898,0.5890315829892738
45000,0.2184,0.3964,0.3852,7.050597939968244,0.6530290998704041
45250,0.2148,0.4308,0.3544,8.404690387872309,0.6202039212492797
45500,0.1768,0.4596,0.3636,7.123929259037795,0.6574275531632405
45750,0.1896,0.61,0.2004,10.010157041330272,0.5313108952135422
46000,0.2116,0.4436,0.3448,8.314329794202957,0.6219820724584769
46250,0.3312,0.4928,0.176,11.511887808163653,0.507456153522957
46500,0.2052,0.5,0.2948,8.703092707420685,0.5982687935213732
46750,0.2,0.3768,0.4232,7.331660471242346,0.6670740163350577
47000,0.1528,0.4632,0.384,7.0589100942146255,0.6525246165176604
47250,0.1516,0.5268,0.3216,6.928440844423446,0.6174331020898224
47500,0.1652,0.5104,0.3244,6.66453829723627,0.6268104761646327
47750,0.284,0.4932,0.2228,11.26802523008383,0.5280494375104114
48000,0.2272,0.55,0.2228,9.842196199762583,0.5383733253555307
48250,0.1296,0.432,0.4384,5.948163376004049,0.692064373639771
48500,0.2464,0.5464,0.2072,10.48296987207137,0.5296661857148769
48750,0.1796,0.5332,0.2872,7.776033286131182,0.6111474237592435
49000,0.2876,0.4392,0.2732,11.11837403443931,0.5519453044952954
49250,0.1532,0.5216,0.3252,6.564444321951081,0.6477642451040457
49500,0.24,0.5012,0.2588,9.940743713046343,0.5739900599535847
49750,0.1632,0.3936,0.4432,6.169385219808404,0.6923313783713939
50000,0.2432,0.416,0.3408,9.642347414257124,0.601956099895314
