t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,5.0,0.0
250,0.3024,0.4384,0.2592,10.830301872411168,0.5392945045205491
500,0.094,0.2892,0.6168,4.276873105960385,0.7623849434884047
750,0.2352,0.3904,0.3744,7.5610597910537996,0.6265851080660126
1000,0.2508,0.3436,0.4056,8.073811109228782,0.6429601279314976
1250,0.2552,0.472,0.2728,10.013947651364248,0.5670326966448037
1500,0.1544,0.4928,0.3528,7.414630920149115,0.6235239790596369
1750,0.1948,0.5048,0.3004,8.481529410897602,0.6155608658733717
2000,0.268,0.518,0.214,9.599002523819838,0.5195224637576348
2250,0.1548,0.4372,0.408,5.9141894975556975,0.6637666919565153
2500,0.1248,0.3872,0.488,4.202236196665673,0.7087808264424779
2750,0.1256,0.314,0.5604,4.1971642742919375,0.7420230584792643
3000,0.2,0.4896,0.3104,8.388823448862812,0.604224283539127
3250,0.1732,0.4856,0.3412,7.542148097568716,0.6157673709962613
3500,0.1896,0.4768,0.3336,7.265083238763959,0.6171453558599551
3750,0.2336,0.33,0.4364,7.5532981443171385,0.6845294300338306
4000,0.1812,0.51,0.3088,7.401080773241612,0.6076077584462044
4250,0.1128,0.4192,0.468,4.943812700626946,0.6890774983669975
4500,0.1456,0.4856,0.3688,6.423939909224631,0.633866884415112
4750,0.2428,0.442,0.3152,9.887272999425237,0.55620495572618
5000,0.2328,0.3764,0.3908,8.280938646977164,0.6279332916749227
5250,0.1812,0.4204,0.3984,7.191005231572932,0.6442613079341181
5500,0.2132,0.5336,0.2532,10.272359740775896,0.5367540757903282
5750,0.2524,0.3808,0.3668,8.205514473889828,0.6220611302564264
6000,0.1356,0.48,0.3844,6.11826965392814,0.6689620404617792
6250,0.1924,0.516,0.2916,9.563849359168485,0.5719818129635263
6500,0.2,0.3232,0.4768,6.282456967229826,0.6763657324770074
6750,0.176,0.4828,0.3412,7.919826188019416,0.6209444246147617
7000,0.1736,0.3688,0.4576,6.307085823177971,0.6840719174289484
7250,0.166,0.5056,0.3284,6.844848890994597,0.622108260975333
7500,0.188,0.3824,0.4296,6.232866713147796,0.6511223150258354
7750,0.2412,0.478,0.2808,9.942183342867422,0.5623177580689045
8000,0.1656,0.318,0.5164,5.070930870225922,0.7181238401929912
8250,0.1652,0.2592,0.5756,4.971815190383262,0.7305203187271931
8500,0.2392,0.3904,0.3704,8.227035642004738,0.6281802591072775
8750,0.1832,0.1844,0.6324,4.5376888150773524,0.7649085883182166
9000,0.1736,0.478,0.3484,6.928170511424981,0.6308725503333067
9250,0.1972,0.3852,0.4176,7.3234506878060275,0.6719231750896001
9500,0.1248,0.4472,0.428,5.688679578304127,0.6614915247351777
9750,0.2036,0.4784,0.318,8.82943194909417,0.5860233397130639
10000,0.2208,0.3336,0.4456,6.538580734450464,0.6782683447496709
10250,0.1708,0.3132,0.516,5.378191043558468,0.714407514669957
10500,0.298,0.4076,0.2944,10.2289559833017,0.5636264602845017
10750,0.1984,0.3556,0.446,7.282671400600442,0.6734928282020648
11000,0.182,0.5316,0.2864,7.610943908037719,0.584850645476858
11250,0.2212,0.3348,0.444,7.460665262596746,0.6583800916032169
11500,0.2324,0.4536,0.314,9.792102994788808,0.5749397961120646
11750,0.2032,0.382,0.4148,6.837437355528185,0.6529408447780785
12000,0.2324,0.1864,0.5812,6.10467093733083,0.7379788469060761
12250,0.1664,0.2828,0.5508,4.40562829815601,0.7459710406492643
12500,0.2064,0.502,0.2916,9.07792212424528,0.5838189241037682
12750,0.1296,0.3828,0.4876,5.453044727999471,0.690438978829496
13000,0.1532,0.4848,0.362,6.9457177143647755,0.6453731926464797
13250,0.2064,0.312,0.4816,6.101312489830665,0.6830024130438315
13500,0.1896,0.5108,0.2996,8.139763612785472,0.5816998011719461
13750,0.226,0.4196,0.3544,8.63540049686066,0.6161717255635991
14000,0.104,0.3964,0.4996,5.3429468779365275,0.7068270457249832
14250,0.1112,0.43,0.4588,5.66126050044748,0.67588262511065
14500,0.2404,0.5728,0.1868,10.617957680654708,0.4974282745024412
14750,0.2148,0.3484,0.4368,5.929445738147953,0.6906755539898494
15000,0.278,0.3436,0.3784,9.871003922420048,0.608413769884709
15250,0.2172,0.5172,0.2656,8.964740872528663,0.5686565967324628
15500,0.1896,0.4648,0.3456,7.204709403785826,0.6281797300744433
15750,0.1344,0.316,0.5496,4.99703353446535,0.7470178426703864
16000,0.2332,0.5168,0.25,10.275356242951425,0.5426233430433707
16250,0.2408,0.4764,0.2828,9.485334187659642,0.5685167385281671
16500,0.1648,0.3456,0.4896,5.364178019838689,0.6938293513828302
16750,0.1852,0.5376,0.2772,9.968981942287343,0.5479093431823793
17000,0.148,0.4416,0.4104,5.693964732929295,0.6635879878037074
17250,0.1956,0.4788,0.3256,7.551096623983651,0.6016957065471301
17500,0.218,0.3844,0.3976,8.307933893815589,0.6340098428532526
17750,0.1736,0.51,0.3164,7.458654043504475,0.6154373306932854
18000,0.1576,0.4528,0.3896,8.336830146728307,0.6273982175320062
18250,0.196,0.534,0.27,7.329139987828882,0.5756697866130012
18500,0.2,0.4352,0.3648,7.9990719520159645,0.6140845515262839
18750,0.1572,0.3284,0.5144,5.494652157859903,0.7171653264577943
19000,0.216,0.4436,0.3404,8.764223135038026,0.5934320001563641
19250,0.1052,0.3272,0.5676,4.249680816364566,0.7333630547611413
19500,0.1912,0.4244,0.3844,7.896545708113006,0.6417448331514226
19750,0.2324,0.4884,0.2792,9.880178349290995,0.5694495162202657
20000,0.2088,0.4712,0.32,7.394509386041198,0.6080408513527027
20250,0.2104,0.4368,0.3528,7.883800993453107,0.6086064278031824
20500,0.2708,0.4532,0.276,9.950469461706762,0.5707470062647032
20750,0.128,0.4428,0.4292,6.0968905495446535,0.6661500130116469
21000,0.2024,0.3228,0.4748,6.32615732638525,0.6845223591558796
21250,0.176,0.3568,0.4672,6.139688829346432,0.677230936061525
21500,0.2532,0.3772,0.3696,7.749502204836452,0.6316695154242871
21750,0.22,0.4304,0.3496,8.38464420987673,0.6028929063144953
22000,0.1908,0.488,0.3212,7.383831962991504,0.6059597483078056
22250,0.2036,0.3964,0.4,6.985228273787882,0.6420731697228773
22500,0.1992,0.53,0.2708,8.441584433122372,0.5708014860003592
22750,0.1188,0.482,0.3992,6.194220004496136,0.6547724670000057
23000,0.236,0.4352,0.3288,8.252401441262426,0.5932211065152375
23250,0.2188,0.4988,0.2824,9.271050471236757,0.5588754847283096
23500,0.1496,0.4812,0.3692,6.47859047374009,0.6400470936623847
23750,0.3276,0.4756,0.1968,13.53123526499345,0.46370257133474896
24000,0.1284,0.4756,0.396,5.999680649400938,0.6578987698386783
24250,0.112,0.402,0.486,4.966138599716625,0.6996886790668527
24500,0.1952,0.5772,0.2276,9.383576436907871,0.535054201100199
24750,0.1092,0.3512,0.5396,4.342950313351873,0.7329996276246415
25000,0.1792,0.5084,0.3124,8.224921659660763,0.589087333968618
25250,0.17,0.4172,0.4128,7.087148061364326,0.6596448299651237
25500,0.1364,0.4168,0.4468,6.879445912924486,0.6748397535853776
25750,0.15,0.5132,0.3368,6.883253336396122,0.6215769062948064
26000,0.1904,0.4744,0.3352,7.785795192688907,0.6109249511325473
26250,0.186,0.384,0.43,7.023608736542487,0.665825327931917
26500,0.1824,0.2352,0.5824,5.422046739182613,0.7380689996486433
26750,0.1228,0.548,0.3292,7.782724932653322,0.5963240173555244
27000,0.1328,0.3444,0.5228,4.9488996827200635,0.7238611582802101
27250,0.2476,0.3876,0.3648,7.753936227082476,0.6185111815213143
27500,0.1368,0.4652,0.398,6.667949183109566,0.6466529631207757
27750,0.1236,0.4284,0.448,5.804250132303528,0.6827159367541217
28000,0.182,0.4804,0.3376,8.057814083822652,0.5935792412788498
28250,0.236,0.428,0.336,8.439681127351362,0.5961566767752435
28500,0.222,0.4052,0.3728,7.5065072503462575,0.6329608355289884
28750,0.16,0.3124,0.5276,5.596290710947791,0.7275572280631252
29000,0.1364,0.3544,0.5092,5.337375508242248,0.7127586510030451
29250,0.1956,0.4784,0.326,8.14456919574019,0.6001252058722613
29500,0.1776,0.4828,0.3396,7.481209712735477,0.6180255641309974
29750,0.1988,0.486,0.3152,8.393289025088768,0.5905156597711887
30000,0.2428,0.3976,0.3596,9.052256613683639,0.6163291398390564
30250,0.216,0.5344,0.2496,9.164252829326147,0.5602281835356224
30500,0.254,0.4492,0.2968,10.370246393820846,0.5709380538182565
30750,0.152,0.4412,0.4068,7.603745739332208,0.649557033735947
31000,0.1388,0.3212,0.54,4.882002241583122,0.7379392711226125
31250,0.1972,0.3912,0.4116,6.522885424617291,0.6532327225223039
31500,0.2736,0.4532,0.2732,9.802661603980415,0.5635378057619506
31750,0.1356,0.418,0.4464,6.389107748749691,0.6876240215452329
32000,0.2132,0.4056,0.3812,7.855290417311871,0.6345442980736073
32250,0.1488,0.4424,0.4088,6.821758695805001,0.6558033565294696
32500,0.2572,0.6008,0.142,11.521597146891379,0.46885696433804
32750,0.192,0.4008,0.4072,6.862020599121393,0.6412807751347394
33000,0.2968,0.414,0.2892,10.31828947730704,0.5836165245846889
33250,0.2064,0.354,0.4396,7.684546158167455,0.6752618389767708
33500,0.1728,0.3544,0.4728,6.490451940243721,0.6827818448927115
33750,0.1584,0.4752,0.3664,7.339866032625689,0.6338311916988805
34000,0.1904,0.3052,0.5044,5.761618419658735,0.7103823357813267
34250,0.2684,0.4704,0.2612,10.564588937807038,0.5348512996430225
34500,0.174,0.4004,0.4256,6.329286020248687,0.6822491383729655
34750,0.1356,0.5348,0.3296,7.372068048472607,0.6129813245376019
35000,0.1724,0.5028,0.3248,6.894582485804532,0.6246349661213169
35250,0.1856,0.5048,0.3096,8.724225325022111,0.5788746266776844
35500,0.246,0.3556,0.3984,8.115955228022091,0.6223635417490088
35750,0.2784,0.5436,0.178,11.713442404665066,0.48552525022783005
36000,0.276,0.47,0.254,10.640680091413621,0.5382070237412842
36250,0.1812,0.514,0.3048,7.647236665932234,0.5916966813694762
36500,0.1996,0.4496,0.3508,8.11674330044268,0.6343991354022599
36750,0.2572,0.39,0.3528,9.335746688924818,0.5968637214540754
37000,0.114,0.3284,0.5576,4.275729844385032,0.73095044601177
37250,0.1596,0.3544,0.486,5.905665458824667,0.6888870634428436
37500,0.192,0.4488,0.3592,8.550579915010767,0.6142020248848262
37750,0.146,0.466,0.388,5.607056008278969,0.6685921815703866
38000,0.2072,0.5892,0.2036,9.700378794923948,0.5276096852676497
38250,0.266,0.4044,0.3296,9.145521663246132,0.6007444551664636
38500,0.168,0.2584,0.5736,4.952847022722845,0.729849479257664
