t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.2344,0.7656,0.0,-2.950916900130826,0.6976072713079701
500,0.228,0.772,0.0,-9.954970412250107,0.6998507165269766
750,0.246,0.754,0.0,-15.598390465435338,0.6812072373513732
1000,0.2404,0.7596,0.0,-19.71767167798453,0.676854446225958
1250,0.2552,0.7448,0.0,-23.13727746528004,0.6723575439742562
1500,0.2192,0.7808,0.0,-24.21297252016372,0.6755375189271176
1750,0.2328,0.7672,0.0,-26.995792433782597,0.6717148634477753
2000,0.196,0.804,0.0,-29.242780694985115,0.6598020135418868
2250,0.2204,0.7796,0.0,-31.09124465087622,0.6658767197249197
2500,0.2112,0.7888,0.0,-33.18119599803014,0.6699483435319904
2750,0.2168,0.7832,0.0,-35.4857495992771,0.6642189421530713
3000,0.2728,0.7272,0.0,-37.34358300757691,0.6628730716630559
3250,0.2228,0.7772,0.0,-38.73517711316244,0.6615436698508126
3500,0.2104,0.7896,0.0,-39.95079208144485,0.6622855950267583
3750,0.218,0.782,0.0,-42.42010036700306,0.6560960322161801
4000,0.2336,0.7664,0.0,-43.60144711845455,0.6470388882880126
4250,0.2244,0.7756,0.0,-43.05445763684487,0.645598775958588
4500,0.2176,0.7824,0.0,-42.402137461189724,0.6551400147362594
4750,0.2096,0.7904,0.0,-42.81030484191033,0.6648493765896344
5000,0.2476,0.7524,0.0,-43.09465808805144,0.6614253666094803
5250,0.216,0.784,0.0,-43.607940522304006,0.6656988054259146
5500,0.2428,0.7572,0.0,-45.02231479952008,0.6566007954235533
5750,0.2196,0.7804,0.0,-45.20704437389346,0.6643118207547289
6000,0.2268,0.7732,0.0,-44.96044609105092,0.6582310046437472
6250,0.2064,0.7936,0.0,-45.37017546530087,0.6722750839132898
6500,0.22,0.78,0.0,-47.072169406636924,0.6794436897333417
6750,0.2132,0.7868,0.0,-48.840234792123965,0.6696230353432189
7000,0.2232,0.7768,0.0,-48.78392506823883,0.6652537616478222
7250,0.2372,0.7628,0.0,-49.504244580109706,0.6600920107902223
7500,0.2384,0.7616,0.0,-50.23494181109122,0.6603528778815045
7750,0.2276,0.7724,0.0,-50.72157700420235,0.6558832746642407
8000,0.2352,0.7648,0.0,-50.658324415077935,0.641908469867973
8250,0.224,0.776,0.0,-50.485714070001315,0.6383942280375594
8500,0.2184,0.7816,0.0,-49.57028530955219,0.643193420371988
8750,0.2368,0.7632,0.0,-48.7064188319156,0.6414527065703555
9000,0.2312,0.7688,0.0,-48.958117064125,0.6465934690117441
9250,0.2312,0.7688,0.0,-49.42838943137133,0.639866448976526
9500,0.208,0.792,0.0,-51.79139189865885,0.6471127362719281
9750,0.2056,0.7944,0.0,-53.22049451085362,0.6470536660324641
10000,0.2204,0.7796,0.0,-53.92290887419391,0.6552408600120454
10250,0.2316,0.7684,0.0,-52.87814207125534,0.6614713024147082
10500,0.25,0.75,0.0,-52.49291845886923,0.6726502346582725
10750,0.2288,0.7712,0.0,-52.181335408385834,0.6673720714520268
11000,0.2396,0.7604,0.0,-52.85198753010996,0.6565944713455432
11250,0.2216,0.7784,0.0,-53.086766126559795,0.6630616103393591
11500,0.2632,0.7368,0.0,-54.18863329804677,0.666924504973481
11750,0.2032,0.7968,0.0,-54.97196322986425,0.6642164190036643
12000,0.2448,0.7552,0.0,-55.178673446426146,0.6678713511758072
12250,0.2348,0.7652,0.0,-56.61527115448954,0.679069861843403
12500,0.2224,0.7776,0.0,-57.74258157883589,0.6799946497122947
12750,0.258,0.742,0.0,-57.952052512421645,0.6693542031316797
