t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.2344,0.7656,0.0,7.341866443032048,0.5754960814026893
500,0.228,0.772,0.0,6.243665598061259,0.6023770255346251
750,0.246,0.754,0.0,5.4340581301327155,0.6116742140922026
1000,0.2404,0.7596,0.0,4.553490526245612,0.6344682342616583
1250,0.2552,0.7448,0.0,4.223045733467656,0.6332395805168128
1500,0.2192,0.7808,0.0,5.015942432216151,0.6220770875285415
1750,0.2328,0.7672,0.0,4.019434215972497,0.639163169228606
2000,0.196,0.804,0.0,3.9222796654612533,0.6362908509426446
2250,0.2204,0.7796,0.0,3.719078394480711,0.6399183690838367
2500,0.2112,0.7888,0.0,4.23096981610807,0.6360299933708419
2750,0.2168,0.7832,0.0,4.0433161903182615,0.6380729566532611
3000,0.2728,0.7272,0.0,3.3867701041421636,0.6501488569416435
3250,0.2228,0.7772,0.0,4.486498109532383,0.6311959131196807
3500,0.2104,0.7896,0.0,3.7625085983230004,0.6366448300790691
3750,0.218,0.782,0.0,2.832864986788327,0.6484695854586883
4000,0.2336,0.7664,0.0,2.4099545314743867,0.6641503568392502
4250,0.2244,0.7756,0.0,3.0995755964494522,0.6502612684968115
4500,0.2176,0.7824,0.0,3.73592809238028,0.6385137281886945
4750,0.2096,0.7904,0.0,4.205998868737037,0.6359971625630955
5000,0.2476,0.7524,0.0,5.0378755992502375,0.6282246580002515
5250,0.216,0.784,0.0,4.660745723437104,0.6295009934068587
5500,0.2428,0.7572,0.0,3.9976642199987733,0.6346009936591844
5750,0.2196,0.7804,0.0,4.525023519221949,0.6289983450007354
6000,0.2268,0.7732,0.0,4.243695476689713,0.6359682593136354
6250,0.2064,0.7936,0.0,4.665827886023898,0.6300815892172464
6500,0.22,0.78,0.0,3.769257140761285,0.6443103117920643
6750,0.2132,0.7868,0.0,3.54750670678201,0.6368554949445784
7000,0.2232,0.7768,0.0,3.970381184660404,0.6345836763871537
7250,0.2372,0.7628,0.0,2.1101050019703718,0.6558316757892696
7500,0.2384,0.7616,0.0,2.1164539668852593,0.6647757988797723
