t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,5.0,0.0
250,0.5176,0.4824,0.0,42.69693931895852,0.06358486233339618
500,0.5188,0.4812,0.0,42.783695264953536,0.06242947496352189
750,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793055
1000,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
1250,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
1500,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
1750,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
2000,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
2250,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
2500,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
2750,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
3000,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
3250,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
3500,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
3750,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
4000,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
4250,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
4500,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
4750,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
5000,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
5250,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
5500,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
5750,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
6000,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
6250,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
6500,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
6750,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
7000,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
7250,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
7500,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
7750,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
8000,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
8250,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
8500,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
8750,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
9000,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
9250,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
9500,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
9750,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
10000,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
10250,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
10500,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
10750,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
11000,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
11250,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
11500,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
11750,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
12000,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
12250,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
12500,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
12750,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
13000,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
13250,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
13500,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
13750,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
14000,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
14250,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
14500,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
14750,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
15000,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
15250,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
15500,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
15750,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
16000,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
16250,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
16500,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
16750,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
17000,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
17250,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
17500,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
17750,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
18000,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
18250,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
18500,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
18750,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
19000,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
19250,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
19500,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
19750,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
20000,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
20250,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
20500,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
20750,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
21000,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
21250,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
21500,0.5188,0.4812,0.0,42.78409633686532,0.062426649007849534
21750,0.5188,0.4812,0.0,42.78603933316887,0.06241506605793052
22000,0.5188,0.4812,0.0,42.78749247008911,0.062407225608851945
