t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,5.0,0.0
250,0.0,0.0,1.0,5.46808,0.11972246199763
500,0.0,0.0,1.0,5.46808,0.11972246199763
750,0.0,0.0,1.0,5.46808,0.11972246199763
1000,0.0,0.0,1.0,5.46808,0.11972246199763
1250,0.0,0.0,1.0,5.46808,0.11972246199763
1500,0.0,0.0,1.0,5.46808,0.11972246199763
1750,0.0,0.0,1.0,5.46808,0.11972246199763
2000,0.0,0.0,1.0,5.46808,0.11972246199763
2250,0.0,0.0,1.0,5.46808,0.11972246199763
2500,0.0,0.0,1.0,5.46808,0.11972246199763
2750,0.0,0.0,1.0,5.46808,0.11972246199763
3000,0.0,0.0,1.0,5.46808,0.11972246199763
3250,0.0,0.0,1.0,5.46808,0.11972246199763
3500,0.0,0.0,1.0,5.46808,0.11972246199763
3750,0.0,0.0,1.0,5.46808,0.11972246199763
4000,0.0,0.0,1.0,5.46808,0.11972246199763
4250,0.0,0.0,1.0,5.46808,0.11972246199763
4500,0.0,0.0,1.0,5.46808,0.11972246199763
4750,0.0,0.0,1.0,5.46808,0.11972246199763
5000,0.0,0.0,1.0,5.46808,0.11972246199763
5250,0.0,0.0,1.0,5.46808,0.11972246199763
5500,0.0,0.0,1.0,5.46808,0.11972246199763
5750,0.0,0.0,1.0,5.46808,0.11972246199763
6000,0.0,0.0,1.0,5.46808,0.11972246199763
6250,0.0,0.0,1.0,5.46808,0.11972246199763
6500,0.0,0.0,1.0,5.46808,0.11972246199763
6750,0.0,0.0,1.0,5.46808,0.11972246199763
7000,0.0,0.0,1.0,5.46808,0.11972246199763
7250,0.0,0.0,1.0,5.46808,0.11972246199763
7500,0.0,0.0,1.0,5.46808,0.11972246199763
7750,0.0,0.0,1.0,5.46808,0.11972246199763
8000,0.0,0.0,1.0,5.46808,0.11972246199763
8250,0.0,0.0,1.0,5.46808,0.11972246199763
8500,0.0,0.0,1.0,5.46808,0.11972246199763
8750,0.0,0.0,1.0,5.46808,0.11972246199763
9000,0.0,0.0,1.0,5.46808,0.11972246199763
9250,0.0,0.0,1.0,5.46808,0.11972246199763
