t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.6832,0.3168,0.0,78.38531810533877,0.15205598564630257
500,0.684,0.316,0.0,74.30610348066213,0.186434549946751
750,0.6856,0.3144,0.0,69.61431655795772,0.22412313544839454
1000,0.6856,0.3144,0.0,64.99386877644945,0.2577911315652936
1250,0.686,0.314,0.0,60.22743500937279,0.28946613805276505
1500,0.6856,0.3144,0.0,55.36170399641895,0.31894327078291684
1750,0.6852,0.3148,0.0,50.44223286627298,0.34624847660464636
2000,0.686,0.314,0.0,45.49472308561263,0.37147237801106664
2250,0.686,0.314,0.0,40.52511227375823,0.39492471623932823
2500,0.686,0.314,0.0,35.65109545229948,0.41601544105968347
2750,0.6864,0.3136,0.0,30.758476763715148,0.43605445975063134
3000,0.6864,0.3136,0.0,25.83205134648268,0.45474007584209536
3250,0.6856,0.3144,0.0,20.901155320066966,0.47221913389085696
3500,0.6856,0.3144,0.0,15.964899631240423,0.4886144977079614
3750,0.6868,0.3132,0.0,11.027755068904614,0.5039903709885053
4000,0.6864,0.3136,0.0,6.130453059366322,0.5182483618550804
4250,0.6856,0.3144,0.0,1.2052078070206058,0.5317421856598518
4500,0.6864,0.3136,0.0,-3.727659441421309,0.5445087991055783
4750,0.6856,0.3144,0.0,-8.663135776380615,0.5565840340983145
5000,0.6864,0.3136,0.0,-13.6003267911239,0.5680171735386622
5250,0.6864,0.3136,0.0,-18.529012140198738,0.5787823612978594
5500,0.6848,0.3152,0.0,-23.465802470016303,0.5890649396810658
5750,0.6852,0.3148,0.0,-28.40518276429775,0.5988471282467278
6000,0.686,0.314,0.0,-33.33797555121764,0.6081133434484509
6250,0.686,0.314,0.0,-38.285742262591306,0.6170239930103606
6500,0.6852,0.3148,0.0,-43.22270510628698,0.6253283964236291
6750,0.686,0.314,0.0,-48.21407455880362,0.6334244952815324
7000,0.686,0.314,0.0,-53.219054567804584,0.641251207529643
7250,0.6864,0.3136,0.0,-58.22014819893495,0.6487066386489171
7500,0.6868,0.3132,0.0,-63.2185579536451,0.6558257229769996
7750,0.6872,0.3128,0.0,-68.2222565569159,0.66267490909631
8000,0.6872,0.3128,0.0,-73.22407547604034,0.6692312816961161
8250,0.6868,0.3132,0.0,-78.22404296858959,0.6755137042071147
8500,0.686,0.314,0.0,-83.22171093324359,0.681534323522975
8750,0.6864,0.3136,0.0,-88.22250425106783,0.68733679085394
9000,0.6864,0.3136,0.0,-93.22322242334636,0.6929179607638036
9250,0.6856,0.3144,0.0,-98.21927509724358,0.6982690219772177
9500,0.6852,0.3148,0.0,-103.21912134661946,0.7034409006991371
9750,0.6856,0.3144,0.0,-108.21748314279436,0.7084187797066602
10000,0.6856,0.3144,0.0,-113.21798527290123,0.713230638643411
10250,0.6852,0.3148,0.0,-114.57497402907305,0.7144323213462205
10500,0.686,0.314,0.0,-114.9195218909438,0.7147588127589826
10750,0.6864,0.3136,0.0,-115.07756641748489,0.7148995109004902
11000,0.69,0.31,0.0,-114.1488171353595,0.7133029867432025
11250,0.6908,0.3092,0.0,-113.22609121087156,0.7124966809124911
11500,0.6908,0.3092,0.0,-112.3006868062552,0.7116815015549679
11750,0.6908,0.3092,0.0,-111.37412213165385,0.7108572624585936
12000,0.6908,0.3092,0.0,-110.44829470592043,0.7100250008923702
12250,0.6908,0.3092,0.0,-109.53268567070866,0.7092451614887834
12500,0.6896,0.3104,0.0,-108.67101650485431,0.708575387367479
12750,0.6896,0.3104,0.0,-107.76139874514719,0.707690811128885
13000,0.6896,0.3104,0.0,-106.83626513985033,0.7068782407427983
13250,0.6896,0.3104,0.0,-105.86610471467397,0.7059396936052013
13500,0.6892,0.3108,0.0,-104.82848010330102,0.7049825174479321
13750,0.6892,0.3108,0.0,-103.79566702804954,0.7040081486935065
14000,0.6888,0.3112,0.0,-102.75704847765262,0.7030036585498466
