t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.0,0.0,1.0,10.32056,0.08673502368088552
500,0.0,0.0,1.0,10.32056,0.08673502368088552
750,0.0,0.0,1.0,10.32056,0.08673502368088552
1000,0.0,0.0,1.0,10.32056,0.08673502368088552
1250,0.0,0.0,1.0,10.32056,0.08673502368088552
1500,0.0,0.0,1.0,10.32056,0.08673502368088552
1750,0.0,0.0,1.0,10.32056,0.08673502368088552
2000,0.0,0.0,1.0,10.32056,0.08673502368088552
2250,0.0,0.0,1.0,10.32056,0.08673502368088552
2500,0.0,0.0,1.0,10.32056,0.08673502368088552
2750,0.0,0.0,1.0,10.32056,0.08673502368088552
3000,0.0,0.0,1.0,10.32056,0.08673502368088552
3250,0.0,0.0,1.0,10.32056,0.08673502368088552
3500,0.0,0.0,1.0,10.32056,0.08673502368088552
3750,0.0,0.0,1.0,10.32056,0.08673502368088552
4000,0.0,0.0,1.0,10.32056,0.08673502368088552
4250,0.0,0.0,1.0,10.32056,0.08673502368088552
4500,0.0,0.0,1.0,10.32056,0.08673502368088552
4750,0.0,0.0,1.0,10.32056,0.08673502368088552
5000,0.0,0.0,1.0,10.32056,0.08673502368088552
5250,0.0,0.0,1.0,10.32056,0.08673502368088552
5500,0.0,0.0,1.0,10.32056,0.08673502368088552
5750,0.0,0.0,1.0,10.32056,0.08673502368088552
6000,0.0,0.0,1.0,10.32056,0.08673502368088552
6250,0.0,0.0,1.0,10.32056,0.08673502368088552
6500,0.0,0.0,1.0,10.32056,0.08673502368088552
6750,0.0,0.0,1.0,10.32056,0.08673502368088552
7000,0.0,0.0,1.0,10.32056,0.08673502368088552
7250,0.0,0.0,1.0,10.32056,0.08673502368088552
7500,0.0,0.0,1.0,10.32056,0.08673502368088552
7750,0.0,0.0,1.0,10.32056,0.08673502368088552
8000,0.0,0.0,1.0,10.32056,0.08673502368088552
8250,0.0,0.0,1.0,10.32056,0.08673502368088552
8500,0.0,0.0,1.0,10.32056,0.08673502368088552
8750,0.0,0.0,1.0,10.32056,0.08673502368088552
9000,0.0,0.0,1.0,10.32056,0.08673502368088552
9250,0.0,0.0,1.0,10.32056,0.08673502368088552
9500,0.0,0.0,1.0,10.32056,0.08673502368088552
9750,0.0,0.0,1.0,10.32056,0.08673502368088552
10000,0.0,0.0,1.0,10.32056,0.08673502368088552
10250,0.0,0.0,1.0,10.32056,0.08673502368088552
10500,0.0,0.0,1.0,10.32056,0.08673502368088552
10750,0.0,0.0,1.0,10.32056,0.08673502368088552
11000,0.0,0.0,1.0,10.32056,0.08673502368088552
11250,0.0,0.0,1.0,10.32056,0.08673502368088552
11500,0.0,0.0,1.0,10.32056,0.08673502368088552
11750,0.0,0.0,1.0,10.32056,0.08673502368088552
12000,0.0,0.0,1.0,10.32056,0.08673502368088552
12250,0.0,0.0,1.0,10.32056,0.08673502368088552
12500,0.0,0.0,1.0,10.32056,0.08673502368088552
12750,0.0,0.0,1.0,10.32056,0.08673502368088552
13000,0.0,0.0,1.0,10.32056,0.08673502368088552
13250,0.0,0.0,1.0,10.32056,0.08673502368088552
13500,0.0,0.0,1.0,10.32056,0.08673502368088552
13750,0.0,0.0,1.0,10.32056,0.08673502368088552
14000,0.0,0.0,1.0,10.32056,0.08673502368088552
14250,0.0,0.0,1.0,10.32056,0.08673502368088552
14500,0.0,0.0,1.0,10.32056,0.08673502368088552
14750,0.0,0.0,1.0,10.32056,0.08673502368088552
15000,0.0,0.0,1.0,10.32056,0.08673502368088552
15250,0.0,0.0,1.0,10.32056,0.08673502368088552
15500,0.0,0.0,1.0,10.32056,0.08673502368088552
15750,0.0,0.0,1.0,10.32056,0.08673502368088552
16000,0.0,0.0,1.0,10.32056,0.08673502368088552
16250,0.0,0.0,1.0,10.32056,0.08673502368088552
16500,0.0,0.0,1.0,10.32056,0.08673502368088552
16750,0.0,0.0,1.0,10.32056,0.08673502368088552
17000,0.0,0.0,1.0,10.32056,0.08673502368088552
17250,0.0,0.0,1.0,10.32056,0.08673502368088552
17500,0.0,0.0,1.0,10.32056,0.08673502368088552
17750,0.0,0.0,1.0,10.32056,0.08673502368088552
18000,0.0,0.0,1.0,10.32056,0.08673502368088552
18250,0.0,0.0,1.0,10.32056,0.08673502368088552
18500,0.0,0.0,1.0,10.32056,0.08673502368088552
18750,0.0,0.0,1.0,10.32056,0.08673502368088552
19000,0.0,0.0,1.0,10.32056,0.08673502368088552
19250,0.0,0.0,1.0,10.32056,0.08673502368088552
19500,0.0,0.0,1.0,10.32056,0.08673502368088552
19750,0.0,0.0,1.0,10.32056,0.08673502368088552
20000,0.0,0.0,1.0,10.32056,0.08673502368088552
20250,0.0,0.0,1.0,10.32056,0.08673502368088552
20500,0.0,0.0,1.0,10.32056,0.08673502368088552
20750,0.0,0.0,1.0,10.32056,0.08673502368088552
21000,0.0,0.0,1.0,10.32056,0.08673502368088552
21250,0.0,0.0,1.0,10.32056,0.08673502368088552
21500,0.0,0.0,1.0,10.32056,0.08673502368088552
21750,0.0,0.0,1.0,10.32056,0.08673502368088552
22000,0.0,0.0,1.0,10.32056,0.08673502368088552
22250,0.0,0.0,1.0,10.32056,0.08673502368088552
22500,0.0,0.0,1.0,10.32056,0.08673502368088552
22750,0.0,0.0,1.0,10.32056,0.08673502368088552
23000,0.0,0.0,1.0,10.32056,0.08673502368088552
23250,0.0,0.0,1.0,10.32056,0.08673502368088552
23500,0.0,0.0,1.0,10.32056,0.08673502368088552
23750,0.0,0.0,1.0,10.32056,0.08673502368088552
24000,0.0,0.0,1.0,10.32056,0.08673502368088552
24250,0.0,0.0,1.0,10.32056,0.08673502368088552
24500,0.0,0.0,1.0,10.32056,0.08673502368088552
24750,0.0,0.0,1.0,10.32056,0.08673502368088552
25000,0.0,0.0,1.0,10.32056,0.08673502368088552
25250,0.0,0.0,1.0,10.32056,0.08673502368088552
25500,0.0,0.0,1.0,10.32056,0.08673502368088552
25750,0.0,0.0,1.0,10.32056,0.08673502368088552
26000,0.0,0.0,1.0,10.32056,0.08673502368088552
26250,0.0,0.0,1.0,10.32056,0.08673502368088552
26500,0.0,0.0,1.0,10.32056,0.08673502368088552
26750,0.0,0.0,1.0,10.32056,0.08673502368088552
27000,0.0,0.0,1.0,10.32056,0.08673502368088552
27250,0.0,0.0,1.0,10.32056,0.08673502368088552
27500,0.0,0.0,1.0,10.32056,0.08673502368088552
27750,0.0,0.0,1.0,10.32056,0.08673502368088552
28000,0.0,0.0,1.0,10.32056,0.08673502368088552
28250,0.0,0.0,1.0,10.32056,0.08673502368088552
28500,0.0,0.0,1.0,10.32056,0.08673502368088552
28750,0.0,0.0,1.0,10.32056,0.08673502368088552
29000,0.0,0.0,1.0,10.32056,0.08673502368088552
29250,0.0,0.0,1.0,10.32056,0.08673502368088552
29500,0.0,0.0,1.0,10.32056,0.08673502368088552
29750,0.0,0.0,1.0,10.32056,0.08673502368088552
30000,0.0,0.0,1.0,10.32056,0.08673502368088552
30250,0.0,0.0,1.0,10.32056,0.08673502368088552
30500,0.0,0.0,1.0,10.32056,0.08673502368088552
30750,0.0,0.0,1.0,10.32056,0.08673502368088552
31000,0.0,0.0,1.0,10.32056,0.08673502368088552
