t,frac_C,frac_D,frac_L,avg_res,gini,,t,frac_L
0,0.5,0.5,0,10,0,,0,0
250,0.6528,0.3224,0.0248,81.62767161770971,0.12507042245520125,,250,0.0248
500,0.662,0.3196,0.0184,82.89666850654999,0.11275197630413829,,500,0.0184
750,0.6728,0.3096,0.0176,83.92531382229957,0.10298981140662453,,750,0.0176
1000,0.6724,0.3112,0.0164,83.8774095071876,0.10355226238374358,,1000,0.0164
1250,0.6728,0.306,0.0212,83.77558007758698,0.10482807353145053,,1250,0.0212
1500,0.6744,0.3068,0.0188,83.93744312550244,0.10292796670275962,,1500,0.0188
1750,0.6736,0.3084,0.018,83.83965307348038,0.10408647315702563,,1750,0.018
2000,0.6728,0.3092,0.018,83.77126346654134,0.10488793495121786,,2000,0.018
2250,0.672,0.3088,0.0192,83.85080441851352,0.10397640032967378,,2250,0.0192
2500,0.6716,0.3072,0.0212,83.77250496774508,0.10488136401419679,,2500,0.0212
2750,0.6712,0.3104,0.0184,83.7634498581297,0.10497630241028626,,2750,0.0184
3000,0.674,0.3096,0.0164,83.84083685678232,0.10405976405017761,,3000,0.0164
3250,0.6748,0.3064,0.0188,83.93396186657779,0.10296353272449789,,3250,0.0188
3500,0.6732,0.3096,0.0172,83.8878901719977,0.10352065732526052,,3500,0.0172
3750,0.6736,0.3084,0.018,83.9420115146677,0.10289947148183862,,3750,0.018
4000,0.6716,0.3084,0.02,83.93748275972884,0.10295476252575418,,4000,0.02
4250,0.672,0.3072,0.0208,83.94046343701201,0.1029084331782038,,4250,0.0208
4500,0.674,0.3076,0.0184,83.94134588885021,0.10287693559322864,,4500,0.0184
4750,0.6744,0.3052,0.0204,83.85997896144688,0.10382992043642919,,4750,0.0204
5000,0.6724,0.3124,0.0152,83.88561599510959,0.1035612193858643,,5000,0.0152
5250,0.6724,0.3096,0.018,83.95013846527337,0.10281874917092415,,5250,0.018
5500,0.6732,0.3076,0.0192,83.97717557014212,0.10247767466504298,,5500,0.0192
5750,0.6732,0.3112,0.0156,83.97633892355114,0.1024915704635758,,5750,0.0156
6000,0.6756,0.306,0.0184,83.98936557041537,0.10240540102940877,,6000,0.0184
6250,0.6752,0.3056,0.0192,83.9876789930847,0.10243154452433048,,6250,0.0192
6500,0.6744,0.3076,0.018,83.99361829067487,0.10239191947639976,,6500,0.018
6750,0.6732,0.3072,0.0196,83.95130450327304,0.10288806534167105,,6750,0.0196
7000,0.6728,0.308,0.0192,83.9084266301295,0.10338933591394824,,7000,0.0192
7250,0.6728,0.3084,0.0188,83.90082252851677,0.10344808203748235,,7250,0.0188
7500,0.6748,0.3068,0.0184,83.90506812466374,0.10340286795493642,,7500,0.0184
7750,0.6748,0.3096,0.0156,83.98465152139066,0.1024709873779277,,7750,0.0156
8000,0.6736,0.3084,0.018,84.0217866949804,0.10205971032782546,,8000,0.018
8250,0.6724,0.3072,0.0204,83.99598546957108,0.10236371464104073,,8250,0.0204
8500,0.6724,0.3092,0.0184,83.99345548413994,0.10238314459894735,,8500,0.0184
8750,0.6748,0.3064,0.0188,84.07507743554376,0.10141482874745325,,8750,0.0188
9000,0.6744,0.3092,0.0164,84.06756455013732,0.10149473561115421,,9000,0.0164
9250,0.6756,0.308,0.0164,84.07593850510113,0.10139327632974296,,9250,0.0164
9500,0.6732,0.3084,0.0184,84.08088730867054,0.10136529700770813,,9500,0.0184
9750,0.6724,0.3088,0.0188,83.9970540145128,0.10236015693682322,,9750,0.0188
10000,0.6728,0.3096,0.0176,83.9936581944627,0.10238070089882964,,10000,0.0176
10250,0.6744,0.3092,0.0164,83.98885549884727,0.10241425873050569,,10250,0.0164
10500,0.6772,0.3056,0.0172,83.99383132426179,0.10235771010316475,,10500,0.0172
10750,0.674,0.3072,0.0188,83.99645784428473,0.10235361841523437,,10750,0.0188
11000,0.6728,0.31,0.0172,83.99436457055286,0.10239277525817825,,11000,0.0172
11250,0.6724,0.3092,0.0184,83.9827527439836,0.1025178050393074,,11250,0.0184
11500,0.6736,0.3072,0.0192,83.90375459633674,0.10341920666516459,,11500,0.0192
11750,0.6756,0.3088,0.0156,83.92418353955422,0.10317194572947765,,11750,0.0156
12000,0.6744,0.3084,0.0172,83.90405786553738,0.10340554083315881,,12000,0.0172
12250,0.6728,0.3108,0.0164,83.9089556497614,0.10338450619423685,,12250,0.0164
12500,0.6732,0.3088,0.018,83.90919280151115,0.10338243130076072,,12500,0.018
12750,0.6732,0.308,0.0188,83.90605192670448,0.10340408188034496,,12750,0.0188
13000,0.6724,0.3112,0.0164,83.9065000947423,0.1033965321846446,,13000,0.0164
13250,0.674,0.3064,0.0196,83.90309555613702,0.10341722008853277,,13250,0.0196
13500,0.6744,0.3092,0.0164,83.90559645986698,0.10339360354512833,,13500,0.0164
13750,0.6728,0.31,0.0172,83.91203126401888,0.10334703807554403,,13750,0.0172
14000,0.6724,0.3076,0.02,83.90349253247871,0.1034275895542943,,14000,0.02
14250,0.6736,0.3044,0.022,83.90436099644492,0.10341602505884132,,14250,0.022
14500,0.6724,0.3108,0.0168,83.90534992441476,0.10341108957988038,,14500,0.0168
14750,0.6748,0.3088,0.0164,83.90613622884916,0.10338336224655666,,14750,0.0164
15000,0.6748,0.308,0.0172,83.91344084111776,0.10330686245279669,,15000,0.0172
15250,0.6736,0.3112,0.0152,84.00289601495835,0.1022923884219192,,15250,0.0152
15500,0.6728,0.3084,0.0188,83.91505704167024,0.10330074288260678,,15500,0.0188
15750,0.6732,0.3084,0.0184,83.92465650717573,0.10318510107593377,,15750,0.0184
16000,0.6736,0.3084,0.018,83.91178930448264,0.1033236479417346,,16000,0.018
16250,0.6752,0.3056,0.0192,83.90382445756784,0.1033968483834429,,16250,0.0192
16500,0.6736,0.3092,0.0172,83.98200688738031,0.10250467004183432,,16500,0.0172
16750,0.6744,0.3076,0.018,83.99007803350501,0.1024131659833459,,16750,0.018
17000,0.674,0.31,0.016,84.02560800646206,0.10203184292899332,,17000,0.016
17250,0.6732,0.3092,0.0176,84.01753361881934,0.10208839444728074,,17250,0.0176
17500,0.6736,0.31,0.0164,83.90864141293562,0.10335404812712698,,17500,0.0164
17750,0.6756,0.3096,0.0148,83.92346514093938,0.10321364387063098,,17750,0.0148
18000,0.6736,0.3068,0.0196,83.91234458002201,0.10332447500142865,,18000,0.0196
18250,0.674,0.306,0.02,83.90563931215601,0.10339215751940929,,18250,0.02
18500,0.6732,0.3116,0.0152,83.95436080011055,0.1028306150417441,,18500,0.0152
18750,0.6732,0.3056,0.0212,83.92742865567575,0.10314598464211479,,18750,0.0212
19000,0.674,0.3068,0.0192,83.92202382372636,0.10319743867398087,,19000,0.0192
19250,0.674,0.3092,0.0168,83.99597915429263,0.10233743485631856,,19250,0.0168
19500,0.6732,0.306,0.0208,83.91555261698936,0.10327700787854494,,19500,0.0208
19750,0.6732,0.3092,0.0176,84.00055936069731,0.10230826890151178,,19750,0.0176
20000,0.6728,0.31,0.0172,84.00615256501234,0.10222892927549831,,20000,0.0172
20250,0.6736,0.3084,0.018,84.06018074255716,0.10160236379638828,,20250,0.018
20500,0.6732,0.3124,0.0144,84.08304833775266,0.10134636309442188,,20500,0.0144
20750,0.6736,0.3096,0.0168,84.08095165531421,0.10135881246174387,,20750,0.0168
21000,0.674,0.3052,0.0208,83.98902585866246,0.10242538008427926,,21000,0.0208
21250,0.674,0.3064,0.0196,83.90357057863123,0.10342471903737505,,21250,0.0196
21500,0.6744,0.3052,0.0204,83.9065825782896,0.10339476062803923,,21500,0.0204
21750,0.6728,0.3084,0.0188,83.90759097363406,0.10339774674019064,,21750,0.0188
22000,0.674,0.3052,0.0208,83.91590878535997,0.10328730406093438,,22000,0.0208
22250,0.6732,0.3096,0.0172,83.98537246218575,0.10246038744159566,,22250,0.0172
22500,0.6732,0.308,0.0188,83.98669386184773,0.1024418078081067,,22500,0.0188
22750,0.674,0.3076,0.0184,83.99333171471534,0.10238402689034125,,22750,0.0184
23000,0.674,0.3084,0.0176,83.99303839419237,0.10238142118128754,,23000,0.0176
23250,0.6736,0.312,0.0144,83.99644457552503,0.10234767762276897,,23250,0.0144
23500,0.6736,0.3088,0.0176,84.00174866169498,0.10228214004133954,,23500,0.0176
23750,0.6744,0.3052,0.0204,83.99093773462698,0.10239972311085993,,23750,0.0204
24000,0.6736,0.3084,0.018,83.99059617786875,0.10240687922248655,,24000,0.018
24250,0.6744,0.306,0.0196,83.9918568126427,0.10239195292490774,,24250,0.0196
24500,0.6732,0.308,0.0188,83.99607042453268,0.10235184351898434,,24500,0.0188
24750,0.6736,0.3108,0.0156,84.04522233193232,0.10177155638961709,,24750,0.0156
25000,0.6744,0.3072,0.0184,84.07762989916128,0.10138421969799986,,25000,0.0184
25250,0.674,0.308,0.018,83.94482916315243,0.10292898403084214,,25250,0.018
25500,0.6744,0.3056,0.02,83.90466404521109,0.1034069777132469,,25500,0.02
25750,0.6732,0.3076,0.0192,83.98441729399063,0.10249087952987747,,25750,0.0192
26000,0.6732,0.3084,0.0184,83.99677811617565,0.10235140859111584,,26000,0.0184
26250,0.6732,0.3104,0.0164,84.0753733622953,0.1014168321624146,,26250,0.0164
26500,0.674,0.3092,0.0168,84.0418082158491,0.10180933595218364,,26500,0.0168
26750,0.674,0.3052,0.0208,83.92464070234833,0.10318316497346534,,26750,0.0208
27000,0.674,0.306,0.02,83.90921735117294,0.10336450020300483,,27000,0.02
27250,0.6724,0.3092,0.0184,83.91329491059199,0.10333629513682895,,27250,0.0184
27500,0.6732,0.3056,0.0212,83.90527709540481,0.10340151911636998,,27500,0.0212
27750,0.6724,0.3096,0.018,83.90801557112842,0.10337246878356154,,27750,0.018
28000,0.6744,0.3068,0.0188,83.95399810007456,0.10281957621967085,,28000,0.0188
28250,0.6768,0.3056,0.0176,84.26519762473511,0.09940404274068837,,28250,0.0176
28500,0.6752,0.308,0.0168,84.23742492730251,0.09975177125687579,,28500,0.0168
28750,0.6748,0.3096,0.0156,84.32653077341821,0.09872653817905112,,28750,0.0156
29000,0.676,0.3088,0.0152,84.41613678299717,0.09778360303519056,,29000,0.0152
29250,0.6764,0.3048,0.0188,84.32734423251952,0.09880849528435778,,29250,0.0188
29500,0.6752,0.31,0.0148,84.33068979058812,0.09878599276782024,,29500,0.0148
