t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.2224,0.7776,0.0,7.248719784715918,0.660163256814825
500,0.2356,0.7644,0.0,-0.9215975179439152,0.6896500831473239
750,0.224,0.776,0.0,-7.379605963110129,0.6951801864046022
1000,0.2172,0.7828,0.0,-16.80305587477479,0.6947990148461421
1250,0.2168,0.7832,0.0,-23.65573825375331,0.7011438624310651
1500,0.2208,0.7792,0.0,-28.996068610217236,0.7039485319471194
1750,0.214,0.786,0.0,-33.63455247935214,0.7029398698794369
2000,0.2276,0.7724,0.0,-38.98512190196977,0.698644079057637
2250,0.212,0.788,0.0,-41.10911102076936,0.7051522940230267
2500,0.2152,0.7848,0.0,-44.56352468011667,0.7059386484305352
2750,0.222,0.778,0.0,-49.59673053301882,0.697956552003514
3000,0.2228,0.7772,0.0,-53.46288278251563,0.7084107338147798
3250,0.2204,0.7796,0.0,-53.67244299681515,0.7051782223426312
3500,0.2224,0.7776,0.0,-54.313396103470005,0.7062227306158366
3750,0.224,0.776,0.0,-55.655799858966155,0.7024908862500718
4000,0.2232,0.7768,0.0,-56.72492683800833,0.7014261559941904
4250,0.2208,0.7792,0.0,-59.715457670412086,0.699500558456387
4500,0.2172,0.7828,0.0,-58.27264285668286,0.7004228458016256
4750,0.2184,0.7816,0.0,-58.83871190231375,0.6955024140938294
5000,0.2204,0.7796,0.0,-58.96246638539864,0.7005549990046197
5250,0.2204,0.7796,0.0,-59.43279238085377,0.6908672897716585
5500,0.2232,0.7768,0.0,-61.57446400667205,0.698297842465033
5750,0.2236,0.7764,0.0,-63.06616949650952,0.6942442343936601
6000,0.22,0.78,0.0,-63.99008968146262,0.7000533910823262
6250,0.2176,0.7824,0.0,-65.55954325665583,0.6993989678142952
6500,0.2116,0.7884,0.0,-66.16654471277587,0.7001895178864823
6750,0.2288,0.7712,0.0,-68.26100165240501,0.6990262873106281
7000,0.2292,0.7708,0.0,-67.10900872329576,0.6998333821657898
