t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.3124,0.5656,0.122,71.62551045478153,0.08759810987475611
500,0.2492,0.492,0.2588,70.06948366328673,0.07319900329818946
750,0.154,0.434,0.412,68.0015937467851,0.07805114540668409
1000,0.31,0.5628,0.1272,72.04308963226227,0.08399244548919725
1250,0.27,0.4772,0.2528,70.21246569062113,0.0719540496801192
1500,0.2904,0.454,0.2556,70.45522797215321,0.08672436280610644
1750,0.176,0.54,0.284,69.1831378551993,0.07452074428483288
2000,0.2372,0.4192,0.3436,70.0910305002128,0.07707259687840949
2250,0.3064,0.4096,0.284,71.03812012624358,0.0854438701035176
2500,0.3056,0.4224,0.272,71.41643121264113,0.07824393050624069
2750,0.2768,0.5048,0.2184,71.33946452019029,0.08286013387423319
3000,0.2364,0.5112,0.2524,70.18896190481242,0.08178516066543644
3250,0.2956,0.5476,0.1568,72.68993978985725,0.06825211076096598
3500,0.2832,0.5328,0.184,71.78644633273791,0.08316165891989807
3750,0.3492,0.5016,0.1492,73.63779920964978,0.07868836936481538
4000,0.2916,0.476,0.2324,71.12399524869419,0.07760718586901333
4250,0.2756,0.4292,0.2952,70.45318890100613,0.0844037594500536
4500,0.2736,0.512,0.2144,70.23551124532439,0.07275140275233405
4750,0.35,0.5176,0.1324,73.02361380815536,0.07152606144662797
5000,0.2524,0.4092,0.3384,70.66137063221913,0.07734366524691683
5250,0.2748,0.4164,0.3088,70.62689753706391,0.07816372801562083
5500,0.2772,0.4308,0.292,70.20394778238354,0.07265612348725085
5750,0.3884,0.4724,0.1392,73.54654974941444,0.07534326873749352
6000,0.3512,0.4368,0.212,71.90370822772982,0.07756865056221784
6250,0.2188,0.3436,0.4376,69.49519281797416,0.0783767668725463
6500,0.3084,0.4656,0.226,71.92618005270947,0.0829388343948425
6750,0.3008,0.558,0.1412,73.27823032696443,0.07210717656070227
7000,0.2996,0.4744,0.226,71.11395364163127,0.08738098522749807
7250,0.3176,0.3632,0.3192,71.89042365450625,0.08405407803487909
7500,0.2832,0.5292,0.1876,71.77542661626448,0.08149092837110056
7750,0.352,0.402,0.246,70.55192106663007,0.08656430558830171
8000,0.3036,0.4776,0.2188,72.28791966291833,0.07586743138668518
8250,0.2984,0.4108,0.2908,71.63816247808413,0.07351191953831598
8500,0.2788,0.4724,0.2488,71.85152380271147,0.06982519047478737
8750,0.246,0.5284,0.2256,70.59117818426654,0.07632302411356134
9000,0.3384,0.3708,0.2908,71.5174865670113,0.08074224040481409
9250,0.278,0.4232,0.2988,71.76447283597598,0.07799758408915215
9500,0.2184,0.5316,0.25,70.37755295653767,0.0811394582265562
9750,0.262,0.5092,0.2288,71.46723120574123,0.06467444786079961
10000,0.2396,0.4516,0.3088,69.35558975888944,0.08172721883646493
10250,0.2692,0.598,0.1328,71.85564565099824,0.0719976566623286
10500,0.2716,0.3948,0.3336,69.79970391183171,0.08548614881757387
10750,0.3416,0.4292,0.2292,71.71187629108645,0.07610466725939316
11000,0.2816,0.5632,0.1552,72.22905584080945,0.07970847892446958
11250,0.254,0.5124,0.2336,71.55604339593805,0.07341267199068234
11500,0.2748,0.464,0.2612,72.1270899841181,0.07760759769026047
11750,0.2872,0.4612,0.2516,71.49466224736001,0.08087467187410834
12000,0.3736,0.3808,0.2456,70.23536922618518,0.08259412531689501
12250,0.3012,0.4652,0.2336,72.04174600962682,0.07426199473175864
12500,0.2788,0.4428,0.2784,70.55016592987835,0.07256061617164292
12750,0.2604,0.486,0.2536,69.99720361755602,0.06863249406230662
13000,0.3304,0.5612,0.1084,73.65384582667285,0.0774543652722975
13250,0.3248,0.5256,0.1496,72.52381673397473,0.06465727489548749
13500,0.3584,0.4792,0.1624,73.2748143199075,0.07528786527596386
13750,0.3236,0.464,0.2124,70.56790768849828,0.078157824367098
14000,0.3848,0.5452,0.07,73.78055684809391,0.07395289026755797
14250,0.2412,0.5044,0.2544,71.06588496492691,0.07081706926713409
14500,0.2776,0.4084,0.314,68.78629088449192,0.08752520677238586
14750,0.3552,0.5,0.1448,72.57377669241056,0.08834895486404472
15000,0.3656,0.4568,0.1776,72.7066493268115,0.07476613592448048
15250,0.1692,0.436,0.3948,68.19313956628116,0.07714369679511084
15500,0.3232,0.4248,0.252,72.30977871411844,0.07001922955908062
15750,0.2768,0.5048,0.2184,72.92853337188372,0.07030774288453875
16000,0.3144,0.538,0.1476,72.40035681753096,0.08574211682900977
16250,0.3244,0.4476,0.228,71.5701590402412,0.07013605515258864
16500,0.2428,0.4688,0.2884,71.88807528178135,0.07645927629866561
16750,0.266,0.5212,0.2128,70.98855572964332,0.08025893901576273
17000,0.29,0.4164,0.2936,70.97537039313829,0.07278968907692425
