t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0
250,0.9084,0.0916,0.0,92.95671365946643,0.025733999269454837,0.0,3.5493945600000014
500,0.9192,0.0808,0.0,93.47664713657205,0.02121484748279012,0.0,3.6270716800000002
750,0.922,0.078,0.0,93.6095999996865,0.020010747618927936,0.0,3.662279466666664
1000,0.924,0.076,0.0,93.67439999786657,0.019486479990714376,0.0,3.681488959999998
1250,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.6935111679999983
1500,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.701525973333332
1750,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.707250834285713
2000,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.711544479999999
2250,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7148839822222213
2500,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.717555583999999
2750,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.719741439999999
3000,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.721562986666666
3250,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7231042953846147
3500,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7244254171428564
3750,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7255703893333325
4000,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.726572239999999
4250,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.727456225882352
4500,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.72824199111111
4750,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7289450442105254
5000,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7295777919999993
5250,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7301502780952376
5500,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7306707199999996
5750,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.731145906086956
6000,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7315814933333327
6250,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7319822335999993
6500,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.732352147692307
6750,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7326946607407403
7000,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.733012708571428
7250,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.733308822068965
7500,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.733585194666666
7750,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.733843736774193
8000,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7340861199999997
8250,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.734313813333333
8500,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.734528112941176
8750,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7347301668571427
9000,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.734920995555555
9250,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.735101509189189
9500,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.7352725221052627
9750,0.924,0.076,0.0,93.67439999999995,0.01948647997745383,0.0,3.735434765128205
