t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0
250,0.3288,0.6712,0.0,67.69822283378258,0.10245986982123248,0.0,1.477282560000001
500,0.3528,0.6472,0.0,68.40516092886357,0.0883928850868422,0.0,1.474913920000002
750,0.388,0.612,0.0,70.99647399084215,0.07206870611264736,0.0,1.4958621866666675
1000,0.334,0.666,0.0,71.18788083875882,0.08002735881919046,0.0,1.5036979200000005
1250,0.3404,0.6596,0.0,68.15848710147198,0.10447907632665347,0.0,1.500867584000001
1500,0.2772,0.7228,0.0,70.79551390898027,0.06933860096824966,0.0,1.5038152533333329
1750,0.3488,0.6512,0.0,67.75787999043483,0.10080239587115512,0.0,1.5011454171428569
2000,0.3112,0.6888,0.0,69.60192723009467,0.08084128141231743,0.0,1.505449759999999
2250,0.3764,0.6236,0.0,71.66793767266455,0.07057037423612608,0.0,1.507115093333331
2500,0.3456,0.6544,0.0,70.2809728133035,0.08417769277315121,0.0,1.5079260159999972
2750,0.3172,0.6828,0.0,71.53266565309104,0.07098394862835784,0.0,1.5100269381818157
3000,0.338,0.662,0.0,71.3780913443553,0.06655891104625093,0.0,1.510032746666665
3250,0.2964,0.7036,0.0,68.06077121186223,0.08570491369063381,0.0,1.507549833846152
3500,0.3796,0.6204,0.0,68.89527734845065,0.09222562200087432,0.0,1.5040245028571408
3750,0.3108,0.6892,0.0,70.16636724224446,0.07634450462822119,0.0,1.5034403839999986
4000,0.3032,0.6968,0.0,70.58433899189662,0.08303122097697838,0.0,1.5061671199999986
4250,0.35,0.65,0.0,71.84289925331657,0.07456750847238741,0.0,1.506328922352939
4500,0.306,0.694,0.0,70.73380952756291,0.07583418865018379,0.0,1.507353457777775
4750,0.338,0.662,0.0,69.0887388038199,0.08165656209170186,0.0,1.5078221473684204
5000,0.294,0.706,0.0,67.85094393897957,0.0880302742113393,0.0,1.5070180479999977
5250,0.3028,0.6972,0.0,71.45453808577196,0.06902200015127542,0.0,1.5087784228571393
5500,0.3544,0.6456,0.0,71.42811831515306,0.06854742318546142,0.0,1.5073822254545441
5750,0.3228,0.6772,0.0,70.08699814860076,0.07424068326807051,0.0,1.506802309565216
6000,0.3,0.7,0.0,69.52912894419386,0.08935502289565454,0.0,1.506116906666665
6250,0.3032,0.6968,0.0,71.27989929815642,0.07104780392683854,0.0,1.5065040384
6500,0.3632,0.6368,0.0,69.99944037630927,0.08521065625679164,0.0,1.5072897969230785
6750,0.3096,0.6904,0.0,70.59674679647237,0.07507768965189962,0.0,1.5074840177777797
7000,0.3376,0.6624,0.0,70.01665127560058,0.08193482961888207,0.0,1.5073158857142877
7250,0.368,0.632,0.0,72.29006077074206,0.06827521180330974,0.0,1.508216805517242
7500,0.3188,0.6812,0.0,69.74400613247313,0.08127817182381827,0.0,1.5083592533333334
7750,0.3308,0.6692,0.0,70.32646027924771,0.08137445991341832,0.0,1.5088548335483856
8000,0.3508,0.6492,0.0,70.60949372688732,0.07107878506206075,0.0,1.5098167599999994
8250,0.3124,0.6876,0.0,71.36423245084673,0.07241205404447115,0.0,1.5104463515151512
8500,0.3344,0.6656,0.0,71.44478766977265,0.07069176518829959,0.0,1.51045534117647
8750,0.3164,0.6836,0.0,68.7046697856056,0.08753210610154785,0.0,1.5095004525714288
9000,0.2848,0.7152,0.0,68.09785445931031,0.09437593685385685,0.0,1.508068977777778
9250,0.3812,0.6188,0.0,70.7633023648102,0.08046557234798966,0.0,1.50874284972973
9500,0.354,0.646,0.0,70.44016458556601,0.07353095790605563,0.0,1.5089492547368413
9750,0.3372,0.6628,0.0,70.8301155293461,0.0751066368326126,0.0,1.509166375384613
10000,0.3252,0.6748,0.0,70.4727112376373,0.0726271921057165,0.0,1.5100049279999974
10250,0.3656,0.6344,0.0,70.61068844222582,0.07921756386347474,0.0,1.5113352741463402
10500,0.2712,0.7288,0.0,68.23967222488197,0.09227871585514483,0.0,1.5112360533333293
10750,0.3128,0.6872,0.0,71.54483638305122,0.06909114039545623,0.0,1.5115425041860429
11000,0.3408,0.6592,0.0,70.15927102760156,0.08069435582909436,0.0,1.5118197236363604
11250,0.2856,0.7144,0.0,68.51593214216356,0.09451736696604106,0.0,1.511571228444443
11500,0.2964,0.7036,0.0,70.15179366158696,0.08489708858293284,0.0,1.5112062886956512
11750,0.384,0.616,0.0,70.61446314400858,0.08541495763243566,0.0,1.5114186893616999
12000,0.3332,0.6668,0.0,66.9428187823496,0.11408684630788311,0.0,1.5109151466666648
12250,0.344,0.656,0.0,70.80912330857119,0.08196554426162461,0.0,1.510904920816326
12500,0.3104,0.6896,0.0,70.22913514871159,0.07598257077218706,0.0,1.5114343424000025
12750,0.3116,0.6884,0.0,71.02830318070305,0.07591539628971719,0.0,1.5114003325490228
13000,0.3652,0.6348,0.0,70.14363955175345,0.08296341200351627,0.0,1.5114666338461589
13250,0.332,0.668,0.0,68.71131261935705,0.08902963625553585,0.0,1.5117188347169854
13500,0.3524,0.6476,0.0,71.0177272509823,0.07723672744388498,0.0,1.5119547022222268
13750,0.3568,0.6432,0.0,72.28604239074349,0.06750169936539852,0.0,1.512482280727276
14000,0.3248,0.6752,0.0,71.13471068990928,0.0712000656605122,0.0,1.5127005714285755
14250,0.3408,0.6592,0.0,69.73266739917645,0.07695173583404989,0.0,1.5125406764912306
14500,0.3228,0.6772,0.0,72.27717192066443,0.0675057875441261,0.0,1.5131113268965526
14750,0.2868,0.7132,0.0,69.81291114254788,0.0756990031377137,0.0,1.5131531715254243
15000,0.3248,0.6752,0.0,71.62255320223441,0.07115464647701286,0.0,1.5131884373333335
15250,0.3292,0.6708,0.0,70.69623749700075,0.07802308921833222,0.0,1.5130810754098354
15500,0.3292,0.6708,0.0,69.36740062957244,0.08802184202614177,0.0,1.5132867096774187
15750,0.3048,0.6952,0.0,68.94704577920528,0.08571238307250022,0.0,1.513648152380952
16000,0.2844,0.7156,0.0,68.4728175492444,0.08539976816549759,0.0,1.5130488600000003
16250,0.3384,0.6616,0.0,70.65899691787546,0.08036453541903567,0.0,1.512756617846154
16500,0.28,0.72,0.0,72.63978624098431,0.06054091714966678,0.0,1.5131849696969684
16750,0.3188,0.6812,0.0,69.02880869302402,0.0907704658008395,0.0,1.5128720620895515
17000,0.3512,0.6488,0.0,71.0007340633279,0.07652087958378005,0.0,1.512651087058823
17250,0.336,0.664,0.0,67.3192457397357,0.09536391562917435,0.0,1.5124696857971007
17500,0.328,0.672,0.0,68.48573637204403,0.08859335065111829,0.0,1.512262326857143
17750,0.3084,0.6916,0.0,67.48397503570932,0.10731890002351228,0.0,1.5118926061971836
18000,0.3728,0.6272,0.0,72.35844830725905,0.0732691933724903,0.0,1.5123931911111104
18250,0.3004,0.6996,0.0,70.45860260846364,0.08108780472105855,0.0,1.5125565194520525
18500,0.3368,0.6632,0.0,69.24077707922932,0.07617998067454403,0.0,1.5124510270270273
18750,0.3244,0.6756,0.0,70.36838911222173,0.0798454747443504,0.0,1.5126543189333324
19000,0.3232,0.6768,0.0,70.21261170758072,0.0865986713458914,0.0,1.512495073684211
19250,0.3484,0.6516,0.0,67.22546294263908,0.10470983315426956,0.0,1.5121695085714293
19500,0.2748,0.7252,0.0,70.1904149626126,0.07100676727871426,0.0,1.5117611487179512
