t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0
250,0.8952,0.1044,0.0004,92.64873971290532,0.028018328569614365,0.0009152,3.4410383999999987
500,0.9212,0.0788,0.0,93.71600784993272,0.0195614909873921,0.0004976,3.5792436800000003
750,0.9276,0.0724,0.0,93.97242796836235,0.017517841056455877,0.00033173333333333334,3.6398251733333344
1000,0.9316,0.0684,0.0,94.11338963201183,0.01648984750147113,0.0002488,3.675181519999999
1250,0.936,0.064,0.0,94.17002477904151,0.015990857139286198,0.00019904,3.6989422719999987
1500,0.9364,0.0636,0.0,94.25616244247777,0.015299328763009,0.00016586666666666667,3.716622773333334
1750,0.9368,0.0632,0.0,94.27839424227258,0.015118277231259603,0.00014217142857142858,3.7296247314285766
2000,0.9372,0.0628,0.0,94.28284847020824,0.01509212698423492,0.0001244,3.7393840400000005
2250,0.9384,0.0616,0.0,94.31543827692347,0.014796785338358206,0.00011057777777777778,3.747065777777777
2500,0.9428,0.0572,0.0,94.37486212284215,0.01433241009688425,9.952e-05,3.7537437759999994
2750,0.9436,0.0564,0.0,94.37585489950975,0.014298128532125611,9.047272727272727e-05,3.7596669963636375
3000,0.942,0.058,0.0,94.36903214167369,0.014365036599392814,8.293333333333333e-05,3.7646124000000105
3250,0.9436,0.0564,0.0,94.38432579547181,0.01424432238754205,7.655384615384615e-05,3.7689121723077035
3500,0.942,0.058,0.0,94.37542343605685,0.014320827029683389,7.108571428571429e-05,3.7726568457142946
3750,0.9424,0.0576,0.0,94.38597192027699,0.01423310434125266,6.634666666666667e-05,3.7758634026666775
4000,0.94,0.06,0.0,94.40357718605749,0.014129544930417784,6.22e-05,3.7786213800000064
4250,0.944,0.056,0.0,94.44599412024478,0.013808565830125248,5.854117647058824e-05,3.781384376470594
4500,0.9484,0.0516,0.0,94.54051898172806,0.013047477309642551,5.528888888888889e-05,3.784209084444448
4750,0.9492,0.0508,0.0,94.55349128747014,0.012926897636158334,5.2378947368421056e-05,3.78707215157895
5000,0.9484,0.0516,0.0,94.52250965142939,0.013203784489892647,4.976e-05,3.789599887999998
5250,0.9492,0.0508,0.0,94.54392734974678,0.013015240341977707,4.739047619047619e-05,3.7918534857142827
5500,0.952,0.048,0.0,94.57591425123825,0.012786576150264923,4.5236363636363634e-05,3.7939716218181827
5750,0.9532,0.0468,0.0,94.60226262184437,0.012559692432412386,4.3269565217391305e-05,3.796207429565227
6000,0.954,0.046,0.0,94.64107499226978,0.012224854020936619,4.146666666666667e-05,3.7984033733333398
6250,0.9516,0.0484,0.0,94.64251581304556,0.012211566308228096,3.9808e-05,3.800455948800008
6500,0.9524,0.0476,0.0,94.63350751824824,0.01229517648608603,3.8276923076923076e-05,3.802340935384621
6750,0.952,0.048,0.0,94.62542352246285,0.012362927971839657,3.685925925925926e-05,3.8040562370370448
7000,0.952,0.048,0.0,94.62682738341505,0.012350480052585641,3.5542857142857145e-05,3.8056309142857265
7250,0.9548,0.0452,0.0,94.69192147372333,0.011784859603162261,3.431724137931034e-05,3.8072145324138083
7500,0.9532,0.0468,0.0,94.70055386879042,0.011711048075273045,3.3173333333333336e-05,3.8088230933333604
7750,0.9544,0.0456,0.0,94.69711159178624,0.011742130543276162,3.2103225806451615e-05,3.8103487277419514
8000,0.9512,0.0488,0.0,94.70721378039299,0.011655108559879609,3.11e-05,3.811781010000003
8250,0.9528,0.0472,0.0,94.70504219218658,0.011668672433032282,3.0157575757575757e-05,3.8131324218181883
8500,0.9532,0.0468,0.0,94.70525876434243,0.011668553721697273,2.927058823529412e-05,3.8144056564706026
8750,0.9536,0.0464,0.0,94.70261367025033,0.01169327597403984,2.8434285714285716e-05,3.815598637714313
9000,0.9536,0.0464,0.0,94.70766540507958,0.011649081452514636,2.7644444444444445e-05,3.816720471111138
9250,0.9536,0.0464,0.0,94.70005933280187,0.011718106408288874,2.6897297297297298e-05,3.8177762335135137
9500,0.954,0.046,0.0,94.70449470530909,0.01167887400357043,2.6189473684210528e-05,3.818785726315789
9750,0.9532,0.0468,0.0,94.71001968468164,0.011625717214538315,2.5517948717948717e-05,3.8197436800000055
10000,0.9568,0.0432,0.0,94.74137100017562,0.011383988915047194,2.488e-05,3.8207113040000094
10250,0.9564,0.0436,0.0,94.74132531812305,0.011382843960109064,2.4273170731707315e-05,3.821681240975598
10500,0.9576,0.0424,0.0,94.74046936044654,0.011388984114572488,2.3695238095238095e-05,3.8226084038095105
10750,0.956,0.044,0.0,94.7393889085703,0.01140143837792145,2.314418604651163e-05,3.8234874120929994
11000,0.9576,0.0424,0.0,94.73290454226968,0.011461112776969075,2.2618181818181817e-05,3.824317941818154
11250,0.9576,0.0424,0.0,94.73383108655813,0.011452596359613267,2.2115555555555557e-05,3.8251108479999663
11500,0.9576,0.0424,0.0,94.73618032368923,0.01143144458598301,2.1634782608695652e-05,3.8258726469564754
11750,0.9576,0.0424,0.0,94.73539347173241,0.011439372260382405,2.1174468085106382e-05,3.826604997446741
12000,0.958,0.042,0.0,94.73369314053723,0.011455632962564142,2.0733333333333334e-05,3.8273052866665807
12250,0.9568,0.0432,0.0,94.7356392785931,0.011438454823055878,2.0310204081632653e-05,3.8279761044896947
12500,0.9572,0.0428,0.0,94.73716188636976,0.011424443169946018,1.9904e-05,3.8286187583998905
12750,0.9556,0.0444,0.0,94.7401925770993,0.011397997430419044,1.9513725490196077e-05,3.829238619607725
13000,0.9564,0.0436,0.0,94.73665839012875,0.011431181820355261,1.9138461538461538e-05,3.829831341538346
13250,0.9552,0.0448,0.0,94.73696090864993,0.01142925884109124,1.877735849056604e-05,3.83040121358479
13500,0.956,0.044,0.0,94.73686389369516,0.011430720212405284,1.842962962962963e-05,3.8309486518517484
13750,0.9548,0.0452,0.0,94.74123541412462,0.011390921333319606,1.8094545454545453e-05,3.831477905454461
14000,0.9548,0.0452,0.0,94.74113294987076,0.011392647193568034,1.7771428571428573e-05,3.831990497142807
14250,0.9544,0.0456,0.0,94.73819818817216,0.01142152735333686,1.7459649122807016e-05,3.8324826778946837
14500,0.9552,0.0448,0.0,94.74057109945633,0.011397632691866607,1.715862068965517e-05,3.832958637241319
