t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.7328,0.2664,0.0008,89.48013311567041,0.05074440157841863,0.0051296,3.29287904,5.0,8253.6,8248.6,3.28774944
500,0.6752,0.3244,0.0004,88.1030557206056,0.05150796504472509,0.0028,3.2186553599999987,1.0,7876.800000000001,7875.800000000001,3.2158553599999986
750,0.69,0.3096,0.0004,88.57174749508643,0.0505153268650229,0.0021525333333333335,3.2176761599999986,4.0,8004.6,8000.6,3.215523626666665
1000,0.6968,0.3028,0.0004,88.80780937353005,0.04950574398731834,0.0018976,3.2197023999999996,3.0,8079.000000000001,8076.000000000001,3.2178047999999997
1250,0.6992,0.3,0.0008,88.87527396557363,0.04907812316848698,0.00171872,3.222009792000003,3.0,8078.200000000001,8075.200000000001,3.220291072000003
1500,0.702,0.2968,0.0012,88.88277453456806,0.04895506937287771,0.0015994666666666667,3.223848000000002,0.0,8095.200000000001,8095.200000000001,3.2222485333333353
1750,0.6952,0.3032,0.0016,88.7517149786186,0.04970752617986073,0.0015074285714285715,3.224450925714289,3.0,8032.0,8029.0,3.22294349714286
2000,0.6996,0.2996,0.0008,88.86102892428066,0.049366977986641906,0.001515,3.224633920000003,3.0,8081.6,8078.6,3.223118920000003
2250,0.678,0.3212,0.0008,88.28710951513301,0.05083586969463732,0.001468088888888889,3.221106311111115,3.0,7897.400000000001,7894.400000000001,3.219638222222226
2500,0.6768,0.3216,0.0016,88.18750756741753,0.05080289316702387,0.00141344,3.2129138560000046,1.0,7892.0,7891.0,3.2115004160000042
2750,0.6444,0.354,0.0016,87.48927797193333,0.05349441226787261,0.0013739636363636364,3.203702836363637,1.0,7695.200000000001,7694.200000000001,3.202328872727273
3000,0.6648,0.3328,0.0024,87.893986134398,0.053641452187927555,0.0013953333333333333,3.195420906666664,3.0,7816.0,7813.0,3.1940255733333305
3250,0.6636,0.3348,0.0016,87.81446713434208,0.0542762906037951,0.001435323076923077,3.1899393476923055,3.0,7772.799999999999,7769.799999999999,3.188504024615382
3500,0.6636,0.3344,0.002,87.8535916664601,0.05396087465881136,0.0014658285714285715,3.185655039999996,3.0,7797.6,7794.6,3.1841892114285675
3750,0.6676,0.3312,0.0012,87.96120129490639,0.05358686761268807,0.00150048,3.181985194666663,6.0,7873.6,7867.6,3.180484714666663
4000,0.66,0.338,0.002,87.78686313282262,0.054558586128766115,0.0015343,3.1792169799999983,7.0,7778.800000000001,7771.800000000001,3.1776826799999984
4250,0.6596,0.3396,0.0008,87.80366746638532,0.05416380215855134,0.0015593411764705883,3.1760564517647,4.0,7800.800000000001,7796.800000000001,3.1744971105882294
4500,0.6632,0.3352,0.0016,87.97628604550918,0.053252176606459284,0.0015556444444444445,3.173820391111106,6.0,7849.400000000001,7843.400000000001,3.172264746666661
4750,0.6684,0.3292,0.0024,88.00184345033932,0.053326216767036846,0.001562021052631579,3.171875941052627,3.0,7864.6,7861.6,3.1703139199999955
5000,0.6628,0.3364,0.0008,88.12066454318604,0.05142631546015517,0.00154416,3.1694766719999956,1.0,7799.800000000001,7798.800000000001,3.1679325119999957
5250,0.6724,0.3264,0.0012,88.14122776221816,0.052492890188803265,0.0015227428571428572,3.1681743695238063,4.0,7884.800000000001,7880.800000000001,3.1666516266666633
5500,0.6716,0.3268,0.0016,88.08718420596067,0.053122987457673895,0.001520581818181818,3.1675985018181785,5.0,7880.400000000001,7875.400000000001,3.1660779199999967
5750,0.6704,0.328,0.0016,88.08662847107986,0.05313368722742983,0.0015395478260869565,3.167057043478259,6.0,7890.200000000001,7884.200000000001,3.1655174956521717
6000,0.6708,0.328,0.0012,88.0223191439495,0.053615034243103404,0.0015546,3.166471759999999,5.0,7872.000000000001,7867.000000000001,3.164917159999999
6250,0.67,0.3288,0.0012,88.06074263145277,0.05335647978766099,0.001569856,3.165882841599998,6.0,7887.800000000001,7881.800000000001,3.164312985599998
6500,0.672,0.3276,0.0004,88.04619842571557,0.05324858561759283,0.0015815384615384615,3.165321046153844,5.0,7873.400000000001,7868.400000000001,3.1637395076923056
6750,0.6704,0.3268,0.0028,88.07893336936428,0.053146755456909674,0.001593362962962963,3.1649411437036994,3.0,7886.0,7883.0,3.1633477807407364
7000,0.672,0.3264,0.0016,88.05431950170745,0.05335234239652891,0.0016033714285714285,3.1645364914285623,6.0,7864.6,7858.6,3.1629331199999906
7250,0.6692,0.3292,0.0016,88.04887387813926,0.053360372918298093,0.001614896551724138,3.1640941241379212,6.0,7864.200000000001,7858.200000000001,3.162479227586197
7500,0.6688,0.3292,0.002,88.04140613320872,0.05352749396817216,0.00162656,3.163676223999988,4.0,7866.200000000001,7862.200000000001,3.162049663999988
7750,0.672,0.326,0.002,88.05840244276077,0.053415712630121966,0.0016384,3.16336036129031,2.0,7884.6,7882.6,3.16172196129031
8000,0.67,0.3272,0.0028,88.07039296211626,0.053337658650680415,0.0016508,3.163108359999988,6.0,7898.200000000001,7892.200000000001,3.1614575599999877
8250,0.6732,0.3248,0.002,88.07127570229079,0.05331694527273096,0.0016640969696969697,3.1628629721212005,7.0,7893.200000000001,7886.200000000001,3.1611988751515034
8500,0.6696,0.3284,0.002,88.0387615849373,0.05358399445004456,0.0016743058823529412,3.162560357647048,3.0,7888.8,7885.8,3.1608860517646953
8750,0.6728,0.3248,0.0024,88.053289183801,0.05344479357472675,0.0016828342857142858,3.1622616137142754,2.0,7900.0,7898.0,3.160578779428561
9000,0.67,0.3288,0.0012,88.04655710259522,0.05341287429881504,0.0016899555555555555,3.1619697866666576,3.0,7874.200000000001,7871.200000000001,3.160279831111102
9250,0.6696,0.3292,0.0012,88.07111123868941,0.053266033632253476,0.0016998054054054054,3.1616931286486425,3.0,7892.000000000001,7889.000000000001,3.159993323243237
9500,0.6512,0.3472,0.0016,87.74715624798188,0.05433693372401782,0.0017057263157894736,3.161276269473678,6.0,7703.0,7697.0,3.159570543157889
9750,0.6684,0.3292,0.0024,87.90354543888643,0.05369993531514908,0.0017107692307692308,3.159829653333329,4.0,7867.200000000001,7863.200000000001,3.1581188841025596
10000,0.6604,0.3376,0.002,87.84004166020173,0.054304920090373895,0.00170764,3.1588949279999983,5.0,7819.6,7814.6,3.1571872879999985
10250,0.6608,0.336,0.0032,87.76667794764921,0.055402492454809174,0.0017198829268292683,3.1581595863414655,5.0,7808.400000000001,7803.400000000001,3.156439703414636
10500,0.6604,0.3372,0.0024,87.76865207165548,0.0553424269841372,0.001738590476190476,3.157474400000002,6.0,7796.6,7790.6,3.155735809523812
10750,0.6564,0.3424,0.0012,87.72150853838664,0.054257465180548414,0.0017367813953488372,3.1564999293023335,4.0,7773.200000000001,7769.200000000001,3.154763147906985
11000,0.6564,0.342,0.0016,87.743676154112,0.0544855091213754,0.0017300363636363635,3.1556826981818253,2.0,7787.0,7785.0,3.153952661818189
11250,0.6572,0.3408,0.002,87.6253408209904,0.055855181950688934,0.0017332977777777777,3.1547895111111184,5.0,7779.0,7774.0,3.1530562133333406
11500,0.6576,0.3404,0.002,87.60230159687197,0.056260426904452585,0.0017516173913043479,3.153963332173921,5.0,7793.6,7788.6,3.1522117147826165
11750,0.6576,0.3404,0.002,87.59297742102646,0.0564290240893763,0.0017729702127659574,3.153150774468093,8.0,7796.6,7788.6,3.151377804255327
12000,0.6592,0.338,0.0028,87.60434474760343,0.05632555119004611,0.0017955333333333334,3.1523838533333413,7.0,7794.4,7787.4,3.1505883200000078
12250,0.6556,0.3412,0.0032,87.61652663898987,0.05634834239429486,0.0018154448979591836,3.1516878432653135,9.0,7779.400000000001,7770.400000000001,3.1498723983673544
12500,0.658,0.3388,0.0032,87.62037830375618,0.056348612959687766,0.001835008,3.1510328448000102,6.0,7789.400000000001,7783.400000000001,3.14919783680001
12750,0.6592,0.3392,0.0016,87.61830127447033,0.05613996212226561,0.001854870588235294,3.150364712156869,9.0,7797.200000000001,7788.200000000001,3.148509841568634
13000,0.6616,0.3364,0.002,87.8578000961242,0.0544086287358739,0.0018667076923076923,3.1496727200000056,7.0,7822.8,7815.8,3.147806012307698
