t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.994,0.006,0.0,95.83354447446699,0.0017023748372532873,0.0,3.865163519999997,0.0,9955.2,9955.2,3.865163519999997
500,0.9944,0.0056,0.0,95.8364193365875,0.0016736085410388544,0.0,3.923543680000013,0.0,9962.400000000001,9962.400000000001,3.923543680000013
750,0.9936,0.0064,0.0,95.8386976518581,0.0016501674452346388,0.0,3.9430003200000265,0.0,9955.2,9955.2,3.9430003200000265
1000,0.9944,0.0056,0.0,95.83702134327373,0.0016673739296685583,0.0,3.9527283200000123,0.0,9958.400000000001,9958.400000000001,3.9527283200000123
1250,0.9932,0.0068,0.0,95.83904586346543,0.0016469332014351242,0.0,3.9585779199999953,0.0,9958.4,9958.4,3.9585779199999953
1500,0.994,0.006,0.0,95.83436388532482,0.0016939993470942128,0.0,3.9624556799999784,0.0,9944.0,9944.0,3.9624556799999784
1750,0.9936,0.0064,0.0,95.83693196157326,0.0016683617632774952,0.0,3.9652300799999636,0.0,9951.2,9951.2,3.9652300799999636
2000,0.9936,0.0064,0.0,95.83825908073825,0.0016549105361313445,0.0,3.967319839999942,0.0,9948.0,9948.0,3.967319839999942
2250,0.9952,0.0048,0.0,95.83432458863429,0.0016943941594198234,0.0,3.968941795555477,0.0,9955.2,9955.2,3.968941795555477
2500,0.994,0.006,0.0,95.83300281350029,0.001708205782510561,0.0,3.9702375679999085,0.0,9957.6,9957.6,3.9702375679999085
2750,0.9936,0.0064,0.0,95.83723093833639,0.0016650129992435505,0.0,3.971295418181715,0.0,9955.2,9955.2,3.971295418181715
3000,0.9952,0.0048,0.0,95.8389754451346,0.0016476953909626674,0.0,3.972185919999887,0.0,9958.400000000001,9958.400000000001,3.972185919999887
3250,0.9948,0.0052,0.0,95.8358329973509,0.0016790323263138575,0.0,3.97293449846142,0.0,9952.0,9952.0,3.97293449846142
3500,0.994,0.006,0.0,95.84045084755155,0.0016326000926320172,0.0,3.9735725714284693,0.0,9955.2,9955.2,3.9735725714284693
3750,0.9932,0.0068,0.0,95.83920008601466,0.0016448731439195148,0.0,3.974128981333263,0.0,9955.2,9955.2,3.974128981333263
4000,0.994,0.006,0.0,95.83918218535419,0.0016459766444201504,0.0,3.974614559999957,0.0,9962.400000000001,9962.400000000001,3.974614559999957
4250,0.9928,0.0072,0.0,95.8353134179187,0.0016842275191233224,0.0,3.975038418823512,0.0,9951.2,9951.2,3.975038418823512
4500,0.9932,0.0068,0.0,95.83486220804257,0.0016895114559564543,0.0,3.9754189511111147,0.0,9948.0,9948.0,3.9754189511111147
4750,0.9944,0.0056,0.0,95.84117076509092,0.0016253619179111927,0.0,3.9757622568421307,0.0,9955.2,9955.2,3.9757622568421307
5000,0.994,0.006,0.0,95.83931124534534,0.001644093517171184,0.0,3.97606892800004,0.0,9961.6,9961.6,3.97606892800004
5250,0.9932,0.0068,0.0,95.83962778045655,0.0016409744770580956,0.0,3.976347367619103,0.0,9961.6,9961.6,3.976347367619103
5500,0.9932,0.0068,0.0,95.83752320482988,0.0016621683259146678,0.0,3.976598400000065,0.0,9952.0,9952.0,3.976598400000065
5750,0.994,0.006,0.0,95.83412097259625,0.001696542472145822,0.0,3.976829273043558,0.0,9951.2,9951.2,3.976829273043558
6000,0.9948,0.0052,0.0,95.83803540221788,0.0016569313795860138,0.0,3.977041333333424,0.0,9955.2,9955.2,3.977041333333424
6250,0.9948,0.0052,0.0,95.83182531547969,0.0017204867711720984,0.0,3.9772353536001,0.0,9959.2,9959.2,3.9772353536001
6500,0.994,0.006,0.0,95.83473871461982,0.0016904190435140898,0.0,3.9774172553847245,0.0,9956.0,9956.0,3.9774172553847245
