t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.994,0.006,0.0,95.83354447446719,0.0017023748372516983,3.2e-06,3.8651612799999975,0.0,9955.2,9955.2,3.8651580799999974
500,0.9944,0.0056,0.0,95.8364193365875,0.0016736085410388544,1.6e-06,3.923542560000013,0.0,9962.400000000001,9962.400000000001,3.923540960000013
750,0.9936,0.0064,0.0,95.8386976518581,0.0016501674452346388,1.0666666666666667e-06,3.94299957333336,0.0,9955.2,9955.2,3.9429985066666933
1000,0.9944,0.0056,0.0,95.83702134327373,0.0016673739296685583,8e-07,3.952727760000013,0.0,9958.400000000001,9958.400000000001,3.952726960000013
1250,0.9932,0.0068,0.0,95.83904586346543,0.0016469332014351242,6.4e-07,3.9585774719999955,0.0,9958.4,9958.4,3.958576831999996
1500,0.994,0.006,0.0,95.83436388532482,0.0016939993470942128,5.333333333333333e-07,3.9624553066666452,0.0,9944.0,9944.0,3.962454773333312
1750,0.9936,0.0064,0.0,95.83693196157326,0.0016683617632774952,4.5714285714285715e-07,3.965229759999964,0.0,9951.2,9951.2,3.965229302857107
2000,0.9936,0.0064,0.0,95.83825908073825,0.0016549105361313445,4e-07,3.9673195599999422,0.0,9948.0,9948.0,3.967319159999942
2250,0.9952,0.0048,0.0,95.83432458863429,0.0016943941594198234,3.555555555555556e-07,3.9689415466665885,0.0,9955.2,9955.2,3.968941191111033
2500,0.994,0.006,0.0,95.83300281350029,0.001708205782510561,3.2e-07,3.9702373439999086,0.0,9957.6,9957.6,3.9702370239999087
2750,0.9936,0.0064,0.0,95.83723093833639,0.0016650129992435505,2.909090909090909e-07,3.9712952145453517,0.0,9955.2,9955.2,3.9712949236362607
3000,0.9952,0.0048,0.0,95.8389754451346,0.0016476953909626674,2.6666666666666667e-07,3.9721857333332204,0.0,9958.400000000001,9958.400000000001,3.972185466666554
3250,0.9948,0.0052,0.0,95.8358329973509,0.0016790323263138575,2.4615384615384616e-07,3.972934326153728,0.0,9952.0,9952.0,3.972934079999882
3500,0.994,0.006,0.0,95.84045084755155,0.0016326000926320172,2.2857142857142858e-07,3.9735724114284694,0.0,9955.2,9955.2,3.973572182857041
3750,0.9932,0.0068,0.0,95.83920008601466,0.0016448731439195148,2.1333333333333334e-07,3.9741288319999297,0.0,9955.2,9955.2,3.9741286186665965
4000,0.994,0.006,0.0,95.83918218535419,0.0016459766444201504,2e-07,3.974614419999957,0.0,9962.400000000001,9962.400000000001,3.9746142199999572
4250,0.9928,0.0072,0.0,95.8353134179187,0.0016842275191233224,1.8823529411764705e-07,3.9750382870588066,0.0,9951.2,9951.2,3.975038098823512
4500,0.9932,0.0068,0.0,95.83486220804257,0.0016895114559564543,1.777777777777778e-07,3.9754188266666706,0.0,9948.0,9948.0,3.9754186488888927
4750,0.9944,0.0056,0.0,95.84117076509092,0.0016253619179111927,1.6842105263157895e-07,3.975762138947394,0.0,9955.2,9955.2,3.9757619705263414
5000,0.994,0.006,0.0,95.83931124534534,0.001644093517171184,1.6e-07,3.97606881600004,0.0,9961.6,9961.6,3.9760686560000402
5250,0.9932,0.0068,0.0,95.83962778045655,0.0016409744770580956,1.5238095238095238e-07,3.976347260952436,0.0,9961.6,9961.6,3.976347108571484
5500,0.9932,0.0068,0.0,95.83752320482988,0.0016621683259146678,1.4545454545454545e-07,3.9765982981818833,0.0,9952.0,9952.0,3.976598152727338
5750,0.994,0.006,0.0,95.83412097259625,0.001696542472145822,1.391304347826087e-07,3.9768291756522536,0.0,9951.2,9951.2,3.976829036521819
6000,0.9948,0.0052,0.0,95.83803540221788,0.0016569313795860138,1.3333333333333334e-07,3.9770412400000903,0.0,9955.2,9955.2,3.977041106666757
6250,0.9948,0.0052,0.0,95.83182531547969,0.0017204867711720984,1.28e-07,3.9772352640001003,0.0,9959.2,9959.2,3.9772351360001
6500,0.994,0.006,0.0,95.83473871461982,0.0016904190435140898,1.2307692307692308e-07,3.977417169230878,0.0,9956.0,9956.0,3.9774170461539553
6750,0.9944,0.0056,0.0,95.83528696636597,0.001685175423591575,1.1851851851851851e-07,3.9775843674075224,0.0,9951.2,9951.2,3.977584248889004
7000,0.9944,0.0056,0.0,95.83792519506923,0.0016584545575934397,1.1428571428571429e-07,3.9777404000001377,0.0,9962.4,9962.4,3.9777402857144235
7250,0.9948,0.0052,0.0,95.83426751521435,0.0016948499767036756,1.103448275862069e-07,3.977881920000159,0.0,9952.0,9952.0,3.9778818096553317
7500,0.9944,0.0056,0.0,95.83589785805138,0.0016790191189948141,1.0666666666666667e-07,3.9780166506668513,0.0,9952.0,9952.0,3.9780165440001847
