t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1.0,0.0,0.0,95.9999999985671,3.232487904370797e-12,0.0,3.9410688,0.0,10000.0,10000.0,3.9410688
500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9705344,0.0,10000.0,10000.0,3.9705344
750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9803562666666665,0.0,10000.0,10000.0,3.9803562666666665
1000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9852672,0.0,10000.0,10000.0,3.9852672
1250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.98821376,0.0,10000.0,10000.0,3.98821376
1500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9901781333333335,0.0,10000.0,10000.0,3.9901781333333335
1750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9915812571428573,0.0,10000.0,10000.0,3.9915812571428573
2000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9926336,0.0,10000.0,10000.0,3.9926336
2250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9934520888888887,0.0,10000.0,10000.0,3.9934520888888887
2500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.99410688,0.0,10000.0,10000.0,3.99410688
2750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.994642618181818,0.0,10000.0,10000.0,3.994642618181818
3000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9950890666666665,0.0,10000.0,10000.0,3.9950890666666665
3250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9954668307692307,0.0,10000.0,10000.0,3.9954668307692307
3500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9957906285714286,0.0,10000.0,10000.0,3.9957906285714286
3750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.996071253333333,0.0,10000.0,10000.0,3.996071253333333
4000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9963168,0.0,10000.0,10000.0,3.9963168
4250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9965334588235293,0.0,10000.0,10000.0,3.9965334588235293
4500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9967260444444443,0.0,10000.0,10000.0,3.9967260444444443
4750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.996898357894737,0.0,10000.0,10000.0,3.996898357894737
5000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.99705344,0.0,10000.0,10000.0,3.99705344
5250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9971937523809524,0.0,10000.0,10000.0,3.9971937523809524
5500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.997321309090909,0.0,10000.0,10000.0,3.997321309090909
5750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9974377739130436,0.0,10000.0,10000.0,3.9974377739130436
6000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9975445333333335,0.0,10000.0,10000.0,3.9975445333333335
6250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.997642752,0.0,10000.0,10000.0,3.997642752
6500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9977334153846154,0.0,10000.0,10000.0,3.9977334153846154
6750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9978173629629628,0.0,10000.0,10000.0,3.9978173629629628
7000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.997895314285714,0.0,10000.0,10000.0,3.997895314285714
7250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9979678896551722,0.0,10000.0,10000.0,3.9979678896551722
7500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998035626666667,0.0,10000.0,10000.0,3.998035626666667
7750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9980989935483873,0.0,10000.0,10000.0,3.9980989935483873
8000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9981584,0.0,10000.0,10000.0,3.9981584
8250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998214206060606,0.0,10000.0,10000.0,3.998214206060606
8500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998266729411765,0.0,10000.0,10000.0,3.998266729411765
8750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9983162514285713,0.0,10000.0,10000.0,3.9983162514285713
9000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998363022222222,0.0,10000.0,10000.0,3.998363022222222
9250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998407264864865,0.0,10000.0,10000.0,3.998407264864865
9500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9984491789473684,0.0,10000.0,10000.0,3.9984491789473684
9750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9984889435897437,0.0,10000.0,10000.0,3.9984889435897437
10000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.99852672,0.0,10000.0,10000.0,3.99852672
10250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998562653658537,0.0,10000.0,10000.0,3.998562653658537
10500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998596876190476,0.0,10000.0,10000.0,3.998596876190476
10750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9986295069767444,0.0,10000.0,10000.0,3.9986295069767444
11000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9986606545454544,0.0,10000.0,10000.0,3.9986606545454544
11250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9986904177777776,0.0,10000.0,10000.0,3.9986904177777776
11500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998718886956522,0.0,10000.0,10000.0,3.998718886956522
11750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998746144680851,0.0,10000.0,10000.0,3.998746144680851
12000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9987722666666667,0.0,10000.0,10000.0,3.9987722666666667
12250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9987973224489797,0.0,10000.0,10000.0,3.9987973224489797
12500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998821376,0.0,10000.0,10000.0,3.998821376
12750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9988444862745096,0.0,10000.0,10000.0,3.9988444862745096
13000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998866707692308,0.0,10000.0,10000.0,3.998866707692308
13250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.998888090566038,0.0,10000.0,10000.0,3.998888090566038
13500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9989086814814816,0.0,10000.0,10000.0,3.9989086814814816
13750,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9989285236363634,0.0,10000.0,10000.0,3.9989285236363634
14000,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9989476571428573,0.0,10000.0,10000.0,3.9989476571428573
14250,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9989661192982457,0.0,10000.0,10000.0,3.9989661192982457
14500,1.0,0.0,0.0,95.99999999999996,0.0,0.0,3.9989839448275863,0.0,10000.0,10000.0,3.9989839448275863
