t,frac_C,frac_D,frac_L,avg_res,CC_ratio,CD_ratio,DD_ratio,CL_ratio,DL_ratio,LL_ratio,C_perimeter,D_perimeter,L_perimeter,C_perimeter_ratio,D_perimeter_ratio,L_perimeter_ratio
5000,0.3768,0.6008,0.0224,71.7014050348915,0.2582,0.2358,0.4732,0.0014,0.0194,0.012,1186,1276,104,0.2372,0.2552,0.0208
5001,0.3864,0.5884,0.0252,71.78522338429948,0.2656,0.2394,0.4592,0.0022,0.019,0.0146,1208,1292,106,0.2416,0.2584,0.0212
5002,0.386,0.586,0.028,71.90668184827122,0.2662,0.2372,0.4556,0.0024,0.0236,0.015,1198,1304,130,0.2396,0.2608,0.026
5003,0.3952,0.5748,0.03,72.01962802866785,0.2686,0.251,0.4372,0.0022,0.0242,0.0168,1266,1376,132,0.2532,0.2752,0.0264
5004,0.3868,0.586,0.0272,72.17789330821577,0.2602,0.252,0.4472,0.0012,0.0256,0.0138,1266,1388,134,0.2532,0.2776,0.0268
5005,0.3832,0.5924,0.0244,72.295964662819,0.255,0.2548,0.4552,0.0016,0.0196,0.0138,1282,1372,106,0.2564,0.2744,0.0212
5006,0.3772,0.5976,0.0252,72.39555141221439,0.2448,0.263,0.4562,0.0018,0.0198,0.0144,1324,1414,108,0.2648,0.2828,0.0216
5007,0.3692,0.6052,0.0256,72.48078820314367,0.241,0.255,0.4684,0.0014,0.0186,0.0156,1282,1368,100,0.2564,0.2736,0.02
5008,0.3728,0.5992,0.028,72.52737992277073,0.2496,0.2452,0.4666,0.0012,0.02,0.0174,1232,1326,106,0.2464,0.2652,0.0212
5009,0.3776,0.5924,0.03,72.581549332554,0.2494,0.2552,0.4546,0.0012,0.0204,0.0192,1282,1378,108,0.2564,0.2756,0.0216
5010,0.3808,0.5876,0.0316,72.66659229952499,0.2484,0.2634,0.4448,0.0014,0.0222,0.0198,1324,1428,118,0.2648,0.2856,0.0236
5011,0.3712,0.59,0.0388,72.770272764028,0.2368,0.267,0.4454,0.0018,0.0222,0.0268,1344,1446,120,0.2688,0.2892,0.024
5012,0.3832,0.5744,0.0424,72.84562377417016,0.2492,0.265,0.43,0.003,0.0238,0.029,1340,1444,134,0.268,0.2888,0.0268
5013,0.3652,0.5936,0.0412,72.96158681395084,0.2344,0.2578,0.4532,0.0038,0.023,0.0278,1308,1404,134,0.2616,0.2808,0.0268
5014,0.354,0.6016,0.0444,72.99630056751191,0.2274,0.2496,0.4642,0.0036,0.0252,0.03,1266,1374,144,0.2532,0.2748,0.0288
5015,0.3536,0.6012,0.0452,72.98522002398444,0.2294,0.245,0.467,0.0034,0.0234,0.0318,1242,1342,134,0.2484,0.2684,0.0268
5016,0.3532,0.5992,0.0476,72.97152923105405,0.2288,0.246,0.4642,0.0028,0.024,0.0342,1244,1350,134,0.2488,0.27,0.0268
5017,0.3512,0.5992,0.0496,72.96402124409913,0.231,0.238,0.4672,0.0024,0.026,0.0354,1202,1320,142,0.2404,0.264,0.0284
5018,0.3464,0.6028,0.0508,72.94407415163505,0.225,0.24,0.4688,0.0028,0.028,0.0354,1214,1340,154,0.2428,0.268,0.0308
5019,0.3396,0.6112,0.0492,72.90850881075907,0.22,0.2362,0.4786,0.003,0.029,0.0332,1196,1326,160,0.2392,0.2652,0.032
5020,0.3412,0.6084,0.0504,72.84171256653931,0.226,0.2292,0.4786,0.0012,0.0304,0.0346,1152,1298,158,0.2304,0.2596,0.0316
5021,0.3496,0.5964,0.054,72.78091234166305,0.2362,0.2242,0.471,0.0026,0.0266,0.0394,1134,1254,146,0.2268,0.2508,0.0292
