t,frac_C,frac_D,frac_L,avg_res,CC_ratio,CD_ratio,DD_ratio,CL_ratio,DL_ratio,LL_ratio,C_perimeter,D_perimeter,L_perimeter,C_perimeter_ratio,D_perimeter_ratio,L_perimeter_ratio
5000,0.2928,0.7072,0.0,51.32980353287652,0.185,0.2156,0.5994,0.0,0.0,0.0,1078,1078,0,0.2156,0.2156,0.0
5001,0.308,0.692,0.0,51.40358749789698,0.195,0.226,0.579,0.0,0.0,0.0,1130,1130,0,0.226,0.226,0.0
5002,0.31,0.69,0.0,51.5453144112405,0.1974,0.2252,0.5774,0.0,0.0,0.0,1126,1126,0,0.2252,0.2252,0.0
5003,0.3204,0.6796,0.0,51.68640840493373,0.204,0.2328,0.5632,0.0,0.0,0.0,1164,1164,0,0.2328,0.2328,0.0
5004,0.3316,0.6684,0.0,51.87008067271019,0.2158,0.2316,0.5526,0.0,0.0,0.0,1158,1158,0,0.2316,0.2316,0.0
5005,0.3372,0.6628,0.0,52.08582022985838,0.2196,0.2352,0.5452,0.0,0.0,0.0,1176,1176,0,0.2352,0.2352,0.0
5006,0.35,0.65,0.0,52.315657148272116,0.223,0.254,0.523,0.0,0.0,0.0,1270,1270,0,0.254,0.254,0.0
5007,0.3404,0.6596,0.0,52.6055688867861,0.2206,0.2396,0.5398,0.0,0.0,0.0,1198,1198,0,0.2396,0.2396,0.0
5008,0.334,0.666,0.0,52.82968677223227,0.213,0.242,0.545,0.0,0.0,0.0,1210,1210,0,0.242,0.242,0.0
5009,0.3324,0.6676,0.0,53.02207577054554,0.2112,0.2424,0.5464,0.0,0.0,0.0,1212,1212,0,0.2424,0.2424,0.0
5010,0.3252,0.6748,0.0,53.20189672623797,0.2018,0.2468,0.5514,0.0,0.0,0.0,1234,1234,0,0.2468,0.2468,0.0
5011,0.3212,0.6788,0.0,53.34974324641797,0.202,0.2384,0.5596,0.0,0.0,0.0,1192,1192,0,0.2384,0.2384,0.0
5012,0.3144,0.6856,0.0,53.46141278861745,0.1958,0.2372,0.567,0.0,0.0,0.0,1186,1186,0,0.2372,0.2372,0.0
5013,0.3064,0.6936,0.0,53.534624286718994,0.1932,0.2264,0.5804,0.0,0.0,0.0,1132,1132,0,0.2264,0.2264,0.0
5014,0.3072,0.6928,0.0,53.55554799178586,0.1922,0.23,0.5778,0.0,0.0,0.0,1150,1150,0,0.23,0.23,0.0
5015,0.3024,0.6976,0.0,53.57801985236865,0.1896,0.2256,0.5848,0.0,0.0,0.0,1128,1128,0,0.2256,0.2256,0.0
5016,0.3044,0.6956,0.0,53.57161731694121,0.1916,0.2256,0.5828,0.0,0.0,0.0,1128,1128,0,0.2256,0.2256,0.0
5017,0.2936,0.7064,0.0,53.56779051603284,0.184,0.2192,0.5968,0.0,0.0,0.0,1096,1096,0,0.2192,0.2192,0.0
5018,0.2876,0.7124,0.0,53.51295776666413,0.181,0.2132,0.6058,0.0,0.0,0.0,1066,1066,0,0.2132,0.2132,0.0
5019,0.278,0.722,0.0,53.4294496672362,0.172,0.212,0.616,0.0,0.0,0.0,1060,1060,0,0.212,0.212,0.0
5020,0.2776,0.7224,0.0,53.309576362192466,0.1706,0.214,0.6154,0.0,0.0,0.0,1070,1070,0,0.214,0.214,0.0
5021,0.2728,0.7272,0.0,53.19154580328874,0.1704,0.2048,0.6248,0.0,0.0,0.0,1024,1024,0,0.2048,0.2048,0.0
5022,0.274,0.726,0.0,53.046875717407616,0.1744,0.1992,0.6264,0.0,0.0,0.0,996,996,0,0.1992,0.1992,0.0
5023,0.274,0.726,0.0,52.90115428313425,0.1742,0.1996,0.6262,0.0,0.0,0.0,998,998,0,0.1996,0.1996,0.0
5024,0.2884,0.7116,0.0,52.75669258870693,0.1846,0.2076,0.6078,0.0,0.0,0.0,1038,1038,0,0.2076,0.2076,0.0
5025,0.2812,0.7188,0.0,52.67654468149488,0.1828,0.1968,0.6204,0.0,0.0,0.0,984,984,0,0.1968,0.1968,0.0
5026,0.28,0.72,0.0,52.555773140472944,0.1802,0.1996,0.6202,0.0,0.0,0.0,998,998,0,0.1996,0.1996,0.0
5027,0.2812,0.7188,0.0,52.43443859617322,0.1762,0.21,0.6138,0.0,0.0,0.0,1050,1050,0,0.21,0.21,0.0
5028,0.2792,0.7208,0.0,52.333281451888965,0.1714,0.2156,0.613,0.0,0.0,0.0,1078,1078,0,0.2156,0.2156,0.0
5029,0.2624,0.7376,0.0,52.23306708373996,0.1666,0.1916,0.6418,0.0,0.0,0.0,958,958,0,0.1916,0.1916,0.0
5030,0.2676,0.7324,0.0,52.044704832157095,0.1724,0.1904,0.6372,0.0,0.0,0.0,952,952,0,0.1904,0.1904,0.0
5031,0.2772,0.7228,0.0,51.88100255303236,0.183,0.1884,0.6286,0.0,0.0,0.0,942,942,0,0.1884,0.1884,0.0
5032,0.2984,0.7016,0.0,51.758053638690036,0.2,0.1968,0.6032,0.0,0.0,0.0,984,984,0,0.1968,0.1968,0.0
5033,0.308,0.692,0.0,51.73093947875295,0.2076,0.2008,0.5916,0.0,0.0,0.0,1004,1004,0,0.2008,0.2008,0.0
5034,0.3084,0.6916,0.0,51.743672865087596,0.2066,0.2036,0.5898,0.0,0.0,0.0,1018,1018,0,0.2036,0.2036,0.0
5035,0.3096,0.6904,0.0,51.757546824654426,0.2054,0.2084,0.5862,0.0,0.0,0.0,1042,1042,0,0.2084,0.2084,0.0
5036,0.308,0.692,0.0,51.77530401371606,0.2072,0.2016,0.5912,0.0,0.0,0.0,1008,1008,0,0.2016,0.2016,0.0
5037,0.3144,0.6856,0.0,51.77343160420451,0.2082,0.2124,0.5794,0.0,0.0,0.0,1062,1062,0,0.2124,0.2124,0.0
5038,0.3192,0.6808,0.0,51.8045742592394,0.2074,0.2236,0.569,0.0,0.0,0.0,1118,1118,0,0.2236,0.2236,0.0
5039,0.312,0.688,0.0,51.86337993677329,0.2034,0.2172,0.5794,0.0,0.0,0.0,1086,1086,0,0.2172,0.2172,0.0
5040,0.3136,0.6864,0.0,51.88254579056902,0.207,0.2132,0.5798,0.0,0.0,0.0,1066,1066,0,0.2132,0.2132,0.0
5041,0.32,0.68,0.0,51.900886245759814,0.21,0.22,0.57,0.0,0.0,0.0,1100,1100,0,0.22,0.22,0.0
5042,0.3248,0.6752,0.0,51.95266094155933,0.219,0.2116,0.5694,0.0,0.0,0.0,1058,1058,0,0.2116,0.2116,0.0
5043,0.3252,0.6748,0.0,52.01311859984725,0.2204,0.2096,0.57,0.0,0.0,0.0,1048,1048,0,0.2096,0.2096,0.0
5044,0.326,0.674,0.0,52.06847317777316,0.22,0.212,0.568,0.0,0.0,0.0,1060,1060,0,0.212,0.212,0.0
5045,0.3284,0.6716,0.0,52.12489502651426,0.2244,0.208,0.5676,0.0,0.0,0.0,1040,1040,0,0.208,0.208,0.0
5046,0.3304,0.6696,0.0,52.18046554936905,0.2206,0.2196,0.5598,0.0,0.0,0.0,1098,1098,0,0.2196,0.2196,0.0
5047,0.3408,0.6592,0.0,52.25418349039298,0.227,0.2276,0.5454,0.0,0.0,0.0,1138,1138,0,0.2276,0.2276,0.0
5048,0.3476,0.6524,0.0,52.37709517656917,0.233,0.2292,0.5378,0.0,0.0,0.0,1146,1146,0,0.2292,0.2292,0.0
5049,0.3468,0.6532,0.0,52.52562402341312,0.2306,0.2324,0.537,0.0,0.0,0.0,1162,1162,0,0.2324,0.2324,0.0
5050,0.3368,0.6632,0.0,52.67162340991765,0.2212,0.2312,0.5476,0.0,0.0,0.0,1156,1156,0,0.2312,0.2312,0.0
5051,0.33,0.67,0.0,52.77609756497859,0.2166,0.2268,0.5566,0.0,0.0,0.0,1134,1134,0,0.2268,0.2268,0.0
5052,0.332,0.668,0.0,52.84952244791948,0.222,0.22,0.558,0.0,0.0,0.0,1100,1100,0,0.22,0.22,0.0
5053,0.3392,0.6608,0.0,52.926137882318095,0.2302,0.218,0.5518,0.0,0.0,0.0,1090,1090,0,0.218,0.218,0.0
5054,0.3468,0.6532,0.0,53.029426366809886,0.2322,0.2292,0.5386,0.0,0.0,0.0,1146,1146,0,0.2292,0.2292,0.0
5055,0.3432,0.6568,0.0,53.17558454826783,0.231,0.2244,0.5446,0.0,0.0,0.0,1122,1122,0,0.2244,0.2244,0.0
