t,frac_C,frac_D,frac_L,avg_res,gini,per_sigma,per_output,per_net,cum_net_hat,edges_CC,edges_CD,edges_DD,edges_CL,edges_DL,edges_LL,edges_total,edges_CC_ratio,edges_CD_ratio,edges_DD_ratio,edges_CL_ratio,edges_DL_ratio,edges_LL_ratio,D_perimeter,D_perimeter_ratio
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1216,2568,1216,0,0,0,5000,0.2432,0.5136,0.2432,0.0,0.0,0.0,2568,0.5136
100,0.3112,0.6332,0.0556,61.040282296667456,0.181169782711001,140.0,4094.8,3954.8,1.3064392000000002,970,1153,2503,19,173,182,5000,0.194,0.2306,0.5006,0.0038,0.0346,0.0364,1326,0.2652
200,0.31,0.5872,0.1028,68.75394342981696,0.11191487234032674,260.0,3765.2,3505.2,1.2363236,978,1114,2268,30,222,388,5000,0.1956,0.2228,0.4536,0.006,0.0444,0.0776,1336,0.2672
300,0.3572,0.5796,0.0632,71.16368405199756,0.09029551451696813,173.0,4368.0,4195.0,1.272037599999999,1166,1214,2203,26,176,215,5000,0.2332,0.2428,0.4406,0.0052,0.0352,0.043,1390,0.278
400,0.3476,0.5424,0.11,71.62099358247984,0.08972702595764175,278.0,4136.8,3858.8,1.3225425999999993,1177,1093,2047,29,237,417,5000,0.2354,0.2186,0.4094,0.0058,0.0474,0.0834,1330,0.266
500,0.28,0.5524,0.1676,66.16678345334053,0.1399430082895252,398.0,3447.2,3049.2,1.3232014399999994,932,923,2168,13,265,699,5000,0.1864,0.1846,0.4336,0.0026,0.053,0.1398,1188,0.2376
600,0.3948,0.5108,0.0944,72.21903160299355,0.09144962379401779,246.0,4428.0,4182.0,1.335830133333333,1378,1155,1862,37,229,339,5000,0.2756,0.231,0.3724,0.0074,0.0458,0.0678,1384,0.2768
700,0.346,0.6156,0.0384,73.52243181358028,0.0783271295105404,94.0,4028.4,3934.4,1.3605985142857144,1140,1170,2420,10,146,114,5000,0.228,0.234,0.484,0.002,0.0292,0.0228,1316,0.2632
800,0.3408,0.586,0.0732,63.802168524038336,0.15550400991109786,188.0,4097.599999999999,3909.5999999999995,1.3659294,1087,1213,2240,21,167,272,5000,0.2174,0.2426,0.448,0.0042,0.0334,0.0544,1380,0.276
900,0.306,0.6084,0.0856,70.12289065637654,0.09097508103411772,220.0,3766.0,3546.0,1.3608368888888889,948,1133,2396,31,159,333,5000,0.1896,0.2266,0.4792,0.0062,0.0318,0.0666,1292,0.2584
1000,0.2324,0.5364,0.2312,68.22018033505537,0.098104447199256,582.0,2972.4000000000005,2390.4000000000005,1.3608992000000006,691,892,2037,50,398,932,5000,0.1382,0.1784,0.4074,0.01,0.0796,0.1864,1290,0.258
1100,0.3832,0.5468,0.07,71.53183090867462,0.1042240687444916,167.0,4474.799999999999,4307.799999999999,1.3653518545454544,1311,1174,2060,36,174,245,5000,0.2622,0.2348,0.412,0.0072,0.0348,0.049,1348,0.2696
1200,0.2316,0.6876,0.0808,66.69313720956607,0.12261845324494697,196.0,2978.0,2782.0,1.3778390666666651,647,979,2845,43,207,279,5000,0.1294,0.1958,0.569,0.0086,0.0414,0.0558,1186,0.2372
1300,0.2336,0.604,0.1624,67.19660319396479,0.10660668281376605,384.0,2824.4,2440.4,1.3609094769230774,736,832,2408,32,392,600,5000,0.1472,0.1664,0.4816,0.0064,0.0784,0.12,1224,0.2448
