t,frac_C,frac_D,frac_L,avg_res,gini,per_sigma,per_output,per_net,cum_net_hat,edges_CC,edges_CD,edges_DD,edges_CL,edges_DL,edges_LL,edges_total,edges_CC_ratio,edges_CD_ratio,edges_DD_ratio,edges_CL_ratio,edges_DL_ratio,edges_LL_ratio,D_perimeter,D_perimeter_ratio
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1216,2568,1216,0,0,0,5000,0.2432,0.5136,0.2432,0.0,0.0,0.0,2568,0.5136
100,0.2828,0.7172,0.0,30.416640810788266,0.5355584500983404,0.0,3516.8,3516.8,1.2904784000000002,854,1120,3026,0,0,0,5000,0.1708,0.224,0.6052,0.0,0.0,0.0,1120,0.224
200,0.314,0.686,0.0,41.055433688750625,0.4277101355376456,0.0,4025.6000000000004,4025.6000000000004,1.3255407999999989,981,1178,2841,0,0,0,5000,0.1962,0.2356,0.5682,0.0,0.0,0.0,1178,0.2356
300,0.3128,0.6872,0.0,51.16987618829467,0.3175483710531147,0.0,3719.2,3719.2,1.3843349333333315,997,1134,2869,0,0,0,5000,0.1994,0.2268,0.5738,0.0,0.0,0.0,1134,0.2268
400,0.2184,0.7816,0.0,50.5814590308618,0.28865380694814896,0.0,2610.0,2610.0,1.381899199999999,681,822,3497,0,0,0,5000,0.1362,0.1644,0.6994,0.0,0.0,0.0,822,0.1644
500,0.1792,0.8208,0.0,48.68197906807939,0.3126702341851066,0.0,2377.6,2377.6,1.3789705599999995,505,782,3713,0,0,0,5000,0.101,0.1564,0.7426,0.0,0.0,0.0,782,0.1564
600,0.3432,0.6568,0.0,53.21371134505648,0.2996362863740397,0.0,4072.4000000000005,4072.4000000000005,1.386961599999999,1110,1212,2678,0,0,0,5000,0.222,0.2424,0.5356,0.0,0.0,0.0,1212,0.2424
700,0.3,0.7,0.0,59.49411418044797,0.21447383577479442,0.0,3658.4,3658.4,1.4119227428571415,955,1090,2955,0,0,0,5000,0.191,0.218,0.591,0.0,0.0,0.0,1090,0.218
800,0.2792,0.7208,0.0,61.309775902959146,0.1952988797993912,0.0,3558.0,3558.0,1.4262353999999993,840,1112,3048,0,0,0,5000,0.168,0.2224,0.6096,0.0,0.0,0.0,1112,0.2224
900,0.318,0.682,0.0,62.885957653813776,0.17309252842874356,0.0,3770.0,3770.0,1.433072888888889,1074,1032,2894,0,0,0,5000,0.2148,0.2064,0.5788,0.0,0.0,0.0,1032,0.2064
1000,0.2572,0.7428,0.0,58.11894543133541,0.23104185015149384,0.0,3238.0,3238.0,1.4341148799999996,767,1038,3195,0,0,0,5000,0.1534,0.2076,0.639,0.0,0.0,0.0,1038,0.2076
1100,0.334,0.666,0.0,46.627741576246464,0.380830400337774,0.0,3965.2,3965.2,1.4154866909090906,1167,1006,2827,0,0,0,5000,0.2334,0.2012,0.5654,0.0,0.0,0.0,1006,0.2012
1200,0.2948,0.7052,0.0,53.23561628872365,0.26909540118315023,0.0,3585.2,3585.2,1.4221206666666664,908,1132,2960,0,0,0,5000,0.1816,0.2264,0.592,0.0,0.0,0.0,1132,0.2264
1300,0.2672,0.7328,0.0,52.589456291176006,0.2868795289767555,0.0,3327.2,3327.2,1.4220415999999998,844,984,3172,0,0,0,5000,0.1688,0.1968,0.6344,0.0,0.0,0.0,984,0.1968
1400,0.19,0.81,0.0,31.6749317813068,0.49762806758647854,0.0,2451.6000000000004,2451.6000000000004,1.4029065142857133,547,806,3647,0,0,0,5000,0.1094,0.1612,0.7294,0.0,0.0,0.0,806,0.1612
1500,0.328,0.672,0.0,25.225177613950795,0.544741664204006,0.0,4035.2,4035.2,1.3872278399999995,1114,1052,2834,0,0,0,5000,0.2228,0.2104,0.5668,0.0,0.0,0.0,1052,0.2104
1600,0.28,0.72,0.0,32.1707408208569,0.4871685945566583,0.0,3252.0,3252.0,1.3877663999999996,907,986,3107,0,0,0,5000,0.1814,0.1972,0.6214,0.0,0.0,0.0,986,0.1972
1700,0.2532,0.7468,0.0,28.360951728146254,0.5191966667134269,0.0,3134.0,3134.0,1.3799905882352936,794,944,3262,0,0,0,5000,0.1588,0.1888,0.6524,0.0,0.0,0.0,944,0.1888
1800,0.2736,0.7264,0.0,29.562379890273455,0.5260254065558816,0.0,3444.4000000000005,3444.4000000000005,1.3781857777777775,855,1026,3119,0,0,0,5000,0.171,0.2052,0.6238,0.0,0.0,0.0,1026,0.2052
1900,0.2616,0.7384,0.0,29.258534908322552,0.5266272239937712,0.0,3297.6000000000004,3297.6000000000004,1.374683705263158,806,1004,3190,0,0,0,5000,0.1612,0.2008,0.638,0.0,0.0,0.0,1004,0.2008
2000,0.2652,0.7348,0.0,35.81149409328387,0.46547545120866884,0.0,3352.3999999999996,3352.3999999999996,1.3746777599999997,774,1104,3122,0,0,0,5000,0.1548,0.2208,0.6244,0.0,0.0,0.0,1104,0.2208
2100,0.2808,0.7192,0.0,45.57951830128894,0.35777567881735384,0.0,3589.6000000000004,3589.6000000000004,1.3766685714285716,853,1102,3045,0,0,0,5000,0.1706,0.2204,0.609,0.0,0.0,0.0,1102,0.2204
2200,0.2552,0.7448,0.0,40.59275657362398,0.4212415405402805,0.0,2971.2,2971.2,1.3736888,814,924,3262,0,0,0,5000,0.1628,0.1848,0.6524,0.0,0.0,0.0,924,0.1848
2300,0.2532,0.7468,0.0,34.86140710992441,0.4752865721846066,0.0,3144.7999999999997,3144.7999999999997,1.3666868173913045,769,994,3237,0,0,0,5000,0.1538,0.1988,0.6474,0.0,0.0,0.0,994,0.1988
2400,0.2524,0.7476,0.0,36.82650485311734,0.447714411422584,0.0,3143.2,3143.2,1.362491066666667,795,934,3271,0,0,0,5000,0.159,0.1868,0.6542,0.0,0.0,0.0,934,0.1868
2500,0.2316,0.7684,0.0,38.89957498776795,0.4447734700794295,0.0,2758.3999999999996,2758.3999999999996,1.3615242879999998,737,842,3421,0,0,0,5000,0.1474,0.1684,0.6842,0.0,0.0,0.0,842,0.1684
2600,0.3176,0.6824,0.0,37.42954338949853,0.4633818187652648,0.0,3768.3999999999996,3768.3999999999996,1.3590785230769225,1047,1082,2871,0,0,0,5000,0.2094,0.2164,0.5742,0.0,0.0,0.0,1082,0.2164
2700,0.2472,0.7528,0.0,42.882188513425554,0.39517720271467227,0.0,3208.7999999999997,3208.7999999999997,1.3610961777777768,711,1050,3239,0,0,0,5000,0.1422,0.21,0.6478,0.0,0.0,0.0,1050,0.21
2800,0.3152,0.6848,0.0,50.31077717661867,0.33094981471765034,0.0,4217.2,4217.2,1.3653429714285705,935,1282,2783,0,0,0,5000,0.187,0.2564,0.5566,0.0,0.0,0.0,1282,0.2564
2900,0.3252,0.6748,0.0,43.815360347862715,0.4099542831119101,0.0,4037.6000000000004,4037.6000000000004,1.3637014068965505,1028,1196,2776,0,0,0,5000,0.2056,0.2392,0.5552,0.0,0.0,0.0,1196,0.2392
3000,0.34,0.66,0.0,50.78594471817066,0.325934580757979,0.0,4015.2000000000003,4015.2000000000003,1.3678219199999995,1095,1210,2695,0,0,0,5000,0.219,0.242,0.539,0.0,0.0,0.0,1210,0.242
3100,0.2752,0.7248,0.0,54.072696861315684,0.28839812551216715,0.0,3299.2,3299.2,1.3717208774193537,883,986,3131,0,0,0,5000,0.1766,0.1972,0.6262,0.0,0.0,0.0,986,0.1972
3200,0.2648,0.7352,0.0,49.989328381693625,0.326098821194688,0.0,3295.6,3295.6,1.3712603999999986,824,1000,3176,0,0,0,5000,0.1648,0.2,0.6352,0.0,0.0,0.0,1000,0.2
3300,0.2772,0.7228,0.0,49.48292219575072,0.32214645355835936,0.0,3333.6000000000004,3333.6000000000004,1.3729649454545447,881,1010,3109,0,0,0,5000,0.1762,0.202,0.6218,0.0,0.0,0.0,1010,0.202
3400,0.3788,0.6212,0.0,55.73010471513564,0.27565371691239654,0.0,4455.2,4455.2,1.3758138823529402,1282,1224,2494,0,0,0,5000,0.2564,0.2448,0.4988,0.0,0.0,0.0,1224,0.2448
3500,0.2924,0.7076,0.0,50.45813519966756,0.3207535436932526,0.0,3380.8,3380.8,1.3761253485714293,992,940,3068,0,0,0,5000,0.1984,0.188,0.6136,0.0,0.0,0.0,940,0.188
3600,0.192,0.808,0.0,31.943444279736966,0.48662295449831594,0.0,2334.3999999999996,2334.3999999999996,1.368052933333334,550,820,3630,0,0,0,5000,0.11,0.164,0.726,0.0,0.0,0.0,820,0.164
3700,0.3092,0.6908,0.0,36.84225195412735,0.4737181258063926,0.0,3862.0,3862.0,1.3659979675675686,950,1192,2858,0,0,0,5000,0.19,0.2384,0.5716,0.0,0.0,0.0,1192,0.2384
3800,0.2432,0.7568,0.0,46.38263721778155,0.36108999529300984,0.0,3335.2,3335.2,1.3680984000000003,719,994,3287,0,0,0,5000,0.1438,0.1988,0.6574,0.0,0.0,0.0,994,0.1988
3900,0.3344,0.6656,0.0,50.387789081211544,0.3253162132992635,0.0,4148.400000000001,4148.400000000001,1.3686347487179489,1078,1188,2734,0,0,0,5000,0.2156,0.2376,0.5468,0.0,0.0,0.0,1188,0.2376
4000,0.2652,0.7348,0.0,52.16675387070553,0.28880443798503,0.0,3329.6,3329.6,1.3702851999999999,788,1076,3136,0,0,0,5000,0.1576,0.2152,0.6272,0.0,0.0,0.0,1076,0.2152
4100,0.2816,0.7184,0.0,54.52561524929351,0.24624705243484282,0.0,3401.2,3401.2,1.3716111999999996,862,1092,3046,0,0,0,5000,0.1724,0.2184,0.6092,0.0,0.0,0.0,1092,0.2184
4200,0.2804,0.7196,0.0,55.932602220316035,0.2594065432457759,0.0,3623.2000000000003,3623.2000000000003,1.3725244952380948,887,1030,3083,0,0,0,5000,0.1774,0.206,0.6166,0.0,0.0,0.0,1030,0.206
4300,0.2992,0.7008,0.0,61.008570558946985,0.1920230448072073,0.0,3576.4,3576.4,1.376688520930232,977,1038,2985,0,0,0,5000,0.1954,0.2076,0.597,0.0,0.0,0.0,1038,0.2076
4400,0.3448,0.6552,0.0,60.0861356229337,0.21508875614355288,0.0,4117.6,4117.6,1.3789869454545456,1135,1178,2687,0,0,0,5000,0.227,0.2356,0.5374,0.0,0.0,0.0,1178,0.2356
4500,0.2508,0.7492,0.0,51.915466526544336,0.2592722584220872,0.0,2948.8,2948.8,1.3796982044444448,803,902,3295,0,0,0,5000,0.1606,0.1804,0.659,0.0,0.0,0.0,902,0.1804
4600,0.2748,0.7252,0.0,48.21466243035624,0.3392577490039244,0.0,3254.4,3254.4,1.3785963130434784,901,946,3153,0,0,0,5000,0.1802,0.1892,0.6306,0.0,0.0,0.0,946,0.1892
4700,0.3676,0.6324,0.0,57.88999600946819,0.2551633318690411,0.0,4310.0,4310.0,1.382393838297872,1257,1162,2581,0,0,0,5000,0.2514,0.2324,0.5162,0.0,0.0,0.0,1162,0.2324
4800,0.2752,0.7248,0.0,57.23926321896298,0.2265022705865825,0.0,3452.8,3452.8,1.385060933333333,842,1068,3090,0,0,0,5000,0.1684,0.2136,0.618,0.0,0.0,0.0,1068,0.2136
4900,0.2684,0.7316,0.0,53.252003484979525,0.30121034413749515,0.0,3513.6,3513.6,1.385254987755103,812,1060,3128,0,0,0,5000,0.1624,0.212,0.6256,0.0,0.0,0.0,1060,0.212
5000,0.2928,0.7072,0.0,51.32980353287652,0.2977395313180498,0.0,3565.2,3565.2,1.3855867520000014,925,1078,2997,0,0,0,5000,0.185,0.2156,0.5994,0.0,0.0,0.0,1078,0.2156
5100,0.3176,0.6824,0.0,56.33559378793972,0.27060590269412205,0.0,3964.7999999999997,3964.7999999999997,1.3887616313725524,989,1198,2813,0,0,0,5000,0.1978,0.2396,0.5626,0.0,0.0,0.0,1198,0.2396
5200,0.348,0.652,0.0,56.99527899243593,0.26443219663933576,0.0,4299.6,4299.6,1.3909820615384658,1139,1202,2659,0,0,0,5000,0.2278,0.2404,0.5318,0.0,0.0,0.0,1202,0.2404
5300,0.3324,0.6676,0.0,46.02801316486741,0.37742292927182625,0.0,3718.0,3718.0,1.3891914566037766,1160,1004,2836,0,0,0,5000,0.232,0.2008,0.5672,0.0,0.0,0.0,1004,0.2008
5400,0.3156,0.6844,0.0,47.98344412297459,0.36236966171732227,0.0,3570.4,3570.4,1.3900803259259293,1074,1008,2918,0,0,0,5000,0.2148,0.2016,0.5836,0.0,0.0,0.0,1008,0.2016
