t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.3112,0.6332,0.0556,61.040282296667456,0.181169782711001,0.165388,1.4718272000000001,140.0,4094.8,3954.8,1.3064392000000002
200,0.31,0.5872,0.1028,68.75394342981696,0.11191487234032674,0.170166,1.4064895999999998,260.0,3765.2,3505.2,1.2363236
300,0.3572,0.5796,0.0632,71.16368405199756,0.09029551451696813,0.1551,1.427137599999999,173.0,4368.0,4195.0,1.272037599999999
400,0.3476,0.5424,0.11,71.62099358247984,0.08972702595764175,0.135661,1.4582035999999994,278.0,4136.8,3858.8,1.3225425999999993
500,0.28,0.5524,0.1676,66.16678345334053,0.1399430082895252,0.1317608,1.4549622399999995,398.0,3447.2,3049.2,1.3232014399999994
600,0.3948,0.5108,0.0944,72.21903160299355,0.09144962379401779,0.13163066666666667,1.4674607999999996,246.0,4428.0,4182.0,1.335830133333333
700,0.346,0.6156,0.0384,73.52243181358028,0.0783271295105404,0.12591257142857143,1.486511085714286,94.0,4028.4,3934.4,1.3605985142857144
800,0.3408,0.586,0.0732,63.802168524038336,0.15550400991109786,0.115399,1.4813284,188.0,4097.599999999999,3909.5999999999995,1.3659294
900,0.306,0.6084,0.0856,70.12289065637654,0.09097508103411772,0.11715244444444445,1.4779893333333334,220.0,3766.0,3546.0,1.3608368888888889
1000,0.2324,0.5364,0.2312,68.22018033505537,0.098104447199256,0.1166184,1.4775176000000005,582.0,2972.4000000000005,2390.4000000000005,1.3608992000000006
1100,0.3832,0.5468,0.07,71.53183090867462,0.1042240687444916,0.11664072727272727,1.4819925818181816,167.0,4474.799999999999,4307.799999999999,1.3653518545454544
1200,0.2316,0.6876,0.0808,66.69313720956607,0.12261845324494697,0.11085933333333334,1.4886983999999985,196.0,2978.0,2782.0,1.3778390666666651
1300,0.2336,0.604,0.1624,67.19660319396479,0.10660668281376605,0.11393015384615385,1.4748396307692313,384.0,2824.4,2440.4,1.3609094769230774
1400,0.3412,0.6084,0.0504,72.99393186829816,0.08136152701293577,0.11561342857142858,1.4765117714285731,121.0,4188.0,4067.0,1.3608983428571446
1500,0.3768,0.5384,0.0848,69.28158540782502,0.12096035270685922,0.11312373333333334,1.4771127466666683,229.0,4453.2,4224.2,1.363989013333335
1600,0.3004,0.614,0.0856,67.25363198573197,0.11562903769507435,0.1098655,1.481977500000002,222.0,3592.0,3370.0,1.3721120000000018
1700,0.2996,0.5408,0.1596,69.40155488317704,0.1023670041876329,0.10953458823529412,1.4840289882352957,404.0,3408.8,3004.8,1.3744944000000017
1800,0.3324,0.6608,0.0068,72.58765244239389,0.08769547547110411,0.10752777777777778,1.493522044444446,23.0,4105.200000000001,4082.2000000000007,1.3859942666666683
1900,0.3432,0.4468,0.21,69.02219248158094,0.1087989467798698,0.10488884210526316,1.493911831578949,512.0,3788.8,3276.8,1.3890229894736859
2000,0.33,0.5556,0.1144,70.8530707645611,0.09197672709913106,0.105944,1.4935631200000021,293.0,3831.6000000000004,3538.6000000000004,1.387619120000002
2100,0.304,0.6564,0.0396,67.03533102592705,0.11953573085414147,0.10295257142857143,1.4931557333333356,90.0,3638.0,3548.0,1.3902031619047641
2200,0.3844,0.5972,0.0184,68.81405194140943,0.12525416907490447,0.0997970909090909,1.5008623272727302,49.0,4383.2,4334.2,1.401065236363639
2300,0.2728,0.5688,0.1584,66.22610796190628,0.1286505913273008,0.09718991304347827,1.5060522434782646,372.0,3118.8,2746.8,1.4088623304347863
2400,0.3856,0.53,0.0844,67.76507620089139,0.12236109246543489,0.09706116666666667,1.5027820000000032,224.0,4457.200000000001,4233.200000000001,1.4057208333333364
2500,0.1932,0.5812,0.2256,68.9349895379689,0.08216270389828167,0.09869232,1.500250496000003,554.0,2383.6000000000004,1829.6000000000004,1.4015581760000029
2600,0.236,0.6148,0.1492,68.29424293567571,0.10038858808276217,0.10070246153846153,1.4970723692307712,345.0,3058.4,2713.4,1.3963699076923097
2700,0.3536,0.5268,0.1196,71.45913975297815,0.09814665772764332,0.10221837037037038,1.4960646518518537,312.0,4238.4,3926.3999999999996,1.3938462814814832
