t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.2828,0.7172,0.0,30.416640810788266,0.5355584500983404,0.0,1.2904784000000002,0.0,3516.8,3516.8,1.2904784000000002
200,0.314,0.686,0.0,41.055433688750625,0.4277101355376456,0.0,1.3255407999999989,0.0,4025.6000000000004,4025.6000000000004,1.3255407999999989
300,0.3128,0.6872,0.0,51.16987618829467,0.3175483710531147,0.0,1.3843349333333315,0.0,3719.2,3719.2,1.3843349333333315
400,0.2184,0.7816,0.0,50.5814590308618,0.28865380694814896,0.0,1.381899199999999,0.0,2610.0,2610.0,1.381899199999999
500,0.1792,0.8208,0.0,48.68197906807939,0.3126702341851066,0.0,1.3789705599999995,0.0,2377.6,2377.6,1.3789705599999995
600,0.3432,0.6568,0.0,53.21371134505648,0.2996362863740397,0.0,1.386961599999999,0.0,4072.4000000000005,4072.4000000000005,1.386961599999999
700,0.3,0.7,0.0,59.49411418044797,0.21447383577479442,0.0,1.4119227428571415,0.0,3658.4,3658.4,1.4119227428571415
800,0.2792,0.7208,0.0,61.309775902959146,0.1952988797993912,0.0,1.4262353999999993,0.0,3558.0,3558.0,1.4262353999999993
900,0.318,0.682,0.0,62.885957653813776,0.17309252842874356,0.0,1.433072888888889,0.0,3770.0,3770.0,1.433072888888889
1000,0.2572,0.7428,0.0,58.11894543133541,0.23104185015149384,0.0,1.4341148799999996,0.0,3238.0,3238.0,1.4341148799999996
1100,0.334,0.666,0.0,46.627741576246464,0.380830400337774,0.0,1.4154866909090906,0.0,3965.2,3965.2,1.4154866909090906
1200,0.2948,0.7052,0.0,53.23561628872365,0.26909540118315023,0.0,1.4221206666666664,0.0,3585.2,3585.2,1.4221206666666664
1300,0.2672,0.7328,0.0,52.589456291176006,0.2868795289767555,0.0,1.4220415999999998,0.0,3327.2,3327.2,1.4220415999999998
1400,0.19,0.81,0.0,31.6749317813068,0.49762806758647854,0.0,1.4029065142857133,0.0,2451.6000000000004,2451.6000000000004,1.4029065142857133
1500,0.328,0.672,0.0,25.225177613950795,0.544741664204006,0.0,1.3872278399999995,0.0,4035.2,4035.2,1.3872278399999995
1600,0.28,0.72,0.0,32.1707408208569,0.4871685945566583,0.0,1.3877663999999996,0.0,3252.0,3252.0,1.3877663999999996
1700,0.2532,0.7468,0.0,28.360951728146254,0.5191966667134269,0.0,1.3799905882352936,0.0,3134.0,3134.0,1.3799905882352936
1800,0.2736,0.7264,0.0,29.562379890273455,0.5260254065558816,0.0,1.3781857777777775,0.0,3444.4000000000005,3444.4000000000005,1.3781857777777775
1900,0.2616,0.7384,0.0,29.258534908322552,0.5266272239937712,0.0,1.374683705263158,0.0,3297.6000000000004,3297.6000000000004,1.374683705263158
2000,0.2652,0.7348,0.0,35.81149409328387,0.46547545120866884,0.0,1.3746777599999997,0.0,3352.3999999999996,3352.3999999999996,1.3746777599999997
2100,0.2808,0.7192,0.0,45.57951830128894,0.35777567881735384,0.0,1.3766685714285716,0.0,3589.6000000000004,3589.6000000000004,1.3766685714285716
2200,0.2552,0.7448,0.0,40.59275657362398,0.4212415405402805,0.0,1.3736888,0.0,2971.2,2971.2,1.3736888
2300,0.2532,0.7468,0.0,34.86140710992441,0.4752865721846066,0.0,1.3666868173913045,0.0,3144.7999999999997,3144.7999999999997,1.3666868173913045
2400,0.2524,0.7476,0.0,36.82650485311734,0.447714411422584,0.0,1.362491066666667,0.0,3143.2,3143.2,1.362491066666667
2500,0.2316,0.7684,0.0,38.89957498776795,0.4447734700794295,0.0,1.3615242879999998,0.0,2758.3999999999996,2758.3999999999996,1.3615242879999998
2600,0.3176,0.6824,0.0,37.42954338949853,0.4633818187652648,0.0,1.3590785230769225,0.0,3768.3999999999996,3768.3999999999996,1.3590785230769225
2700,0.2472,0.7528,0.0,42.882188513425554,0.39517720271467227,0.0,1.3610961777777768,0.0,3208.7999999999997,3208.7999999999997,1.3610961777777768
2800,0.3152,0.6848,0.0,50.31077717661867,0.33094981471765034,0.0,1.3653429714285705,0.0,4217.2,4217.2,1.3653429714285705
2900,0.3252,0.6748,0.0,43.815360347862715,0.4099542831119101,0.0,1.3637014068965505,0.0,4037.6000000000004,4037.6000000000004,1.3637014068965505
3000,0.34,0.66,0.0,50.78594471817066,0.325934580757979,0.0,1.3678219199999995,0.0,4015.2000000000003,4015.2000000000003,1.3678219199999995
3100,0.2752,0.7248,0.0,54.072696861315684,0.28839812551216715,0.0,1.3717208774193537,0.0,3299.2,3299.2,1.3717208774193537
3200,0.2648,0.7352,0.0,49.989328381693625,0.326098821194688,0.0,1.3712603999999986,0.0,3295.6,3295.6,1.3712603999999986
3300,0.2772,0.7228,0.0,49.48292219575072,0.32214645355835936,0.0,1.3729649454545447,0.0,3333.6000000000004,3333.6000000000004,1.3729649454545447
3400,0.3788,0.6212,0.0,55.73010471513564,0.27565371691239654,0.0,1.3758138823529402,0.0,4455.2,4455.2,1.3758138823529402
3500,0.2924,0.7076,0.0,50.45813519966756,0.3207535436932526,0.0,1.3761253485714293,0.0,3380.8,3380.8,1.3761253485714293
3600,0.192,0.808,0.0,31.943444279736966,0.48662295449831594,0.0,1.368052933333334,0.0,2334.3999999999996,2334.3999999999996,1.368052933333334
