t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,5.0,0.0
250,0.2704,0.7296,0.0,-102.0117387444126,0.43184151788315434
500,0.21,0.79,0.0,-121.98484972214575,0.41381346774323
750,0.2668,0.7332,0.0,-168.62844313855908,0.4592991390893343
1000,0.4496,0.5504,0.0,-122.03669487678523,0.5744087729540037
1250,0.2248,0.7752,0.0,-142.4559308512435,0.47709017514852387
1500,0.1348,0.8652,0.0,-198.68244931373695,0.436295587947783
1750,0.1296,0.8704,0.0,-308.3865963845763,0.32679818348452044
2000,0.154,0.846,0.0,-380.38434662843645,0.3351768435611527
2250,0.4,0.6,0.0,-344.9044271600644,0.4397990365367766
2500,0.2764,0.7236,0.0,-275.71031975891265,0.4792430400122907
2750,0.2008,0.7992,0.0,-274.45933846306184,0.45365768072665663
3000,0.266,0.734,0.0,-255.04522288809838,0.5413137338248978
3250,0.21,0.79,0.0,-292.17240019663274,0.529445676800334
3500,0.1752,0.8248,0.0,-392.8185769158138,0.42989410342824586
3750,0.2924,0.7076,0.0,-387.4071474922755,0.45052458164491804
4000,0.2928,0.7072,0.0,-299.6246926701749,0.5308561708398842
4250,0.254,0.746,0.0,-277.6704080303437,0.5641068893010789
4500,0.2908,0.7092,0.0,-333.5714668972779,0.5587917740757344
4750,0.1844,0.8156,0.0,-357.47730247781567,0.562020403398014
5000,0.1564,0.8436,0.0,-394.26764178435184,0.5077401350985832
5250,0.0788,0.9212,0.0,-459.68595500640265,0.50193534694251
5500,0.1788,0.8212,0.0,-606.8928360977922,0.4106263087376629
5750,0.3456,0.6544,0.0,-570.3846215161489,0.4576259542207246
6000,0.2184,0.7816,0.0,-483.2227921677473,0.5210241648588654
6250,0.384,0.616,0.0,-408.5980920559925,0.5392765498471573
6500,0.1812,0.8188,0.0,-397.4355822906416,0.494721970043258
6750,0.1996,0.8004,0.0,-354.2025389436897,0.5610823683697216
7000,0.1152,0.8848,0.0,-488.6724436215833,0.43528024645540137
7250,0.2804,0.7196,0.0,-592.519311338416,0.3967326575813551
