allow_forced_l_in_cd,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean
FALSE,1.2,1,0,0,35.999999999999986,0
FALSE,1.4,0.8576111111111111,0.1423888888888889,0,32.0829923834847,0.08274365549511072
FALSE,1.6,0.44511111111111107,0.554888888888889,0,15.478898416289013,0.42062048236999033
FALSE,1.8,0.2546666666666667,0.7453333333333333,0,-554.3085232,0.5705113318963349
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TRUE,1.2,1,0,0,35.999999999999986,0
TRUE,1.4,0.8855555555555557,0.11444444444444443,0,32.71752976077545,0.07091940154143254
TRUE,1.6,0.4654444444444444,0.4536666666666666,0.08088888888888889,18.124071119302936,0.3434076225981963
TRUE,1.8,0,0,1,0.19425134704996444,0.9070604765968456
