# GRID = {'r': [1.0, 1.02, 1.04, 1.06, 1.08, 1.1, 1.12, 1.14, 1.16, 1.18, 1.2, 1.22, 1.24, 1.26, 1.28, 1.3, 1.32, 1.34, 1.36, 1.38, 1.4, 1.42, 1.44, 1.46, 1.48, 1.5, 1.52, 1.54, 1.56, 1.58, 1.6, 1.62, 1.64, 1.66, 1.68, 1.7, 1.72, 1.74, 1.76, 1.78, 1.8, 1.82, 1.84, 1.86, 1.88, 1.9, 1.92, 1.94, 1.96, 1.98, 2.0], 'allow_forced_l_in_cd': [True], 'eta': [0.0], 'sigma': [0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35]}
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=10.0, r=1.6, sigma=0.25, alpha=1.0, gamma=70.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='hybrid', seed=0, allow_forced_l_in_cd=False, update_rule='best_imitation_logit', eta=0.5, scale_low=0.0, scale_high=1.0, scale_eps=1e-09)
# REPLICAS = 50, T = 50000
allow_forced_l_in_cd,eta,r,sigma,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,sum_res_mean,cum_sigma_mean,cum_output_mean,net_output_mean,cum_sigma_hat_mean,cum_output_hat_mean,net_output_hat_mean
True,0.0,1.0,0.31,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.29,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.27,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.32,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.33,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.25,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.35,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.26,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.3,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.28,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.0,0.34,1.0,0.0,0.0,95.99999999999996,0.0,239999.9999999999,0.0,499964665.2,499964665.2,0.0,3.9997173216,3.9997173216
True,0.0,1.02,0.25,0.926952,0.07304799999999999,0.0,93.40907247999996,0.020787701280670867,233522.6811999999,10.54,463970463.78915495,463970453.249155,8.432e-08,3.7117637103132406,3.71176362599324
True,0.0,1.02,0.31,0.927032,0.07296799999999999,0.0,93.41191215999996,0.020769636101310995,233529.78039999987,18.228,464009871.00797045,464009852.77997047,1.4582400000000002e-07,3.7120789680637643,3.7120788222397643
